timestamp,Panther_education_Jerome,Panther_education_Quintin,Panther_education_Hugh,Panther_education_Alecia,Panther_education_Vincent,Panther_education_Genevieve,Fox_education_Lilly,Fox_education_Andre,Fox_education_Leota,Fox_education_Yolande,Fox_education_Elvira,Fox_education_Gloria,Fox_education_Nilda,Fox_education_Claude,Rat_education_Willie,Rat_education_Eleonora,Rat_education_Veronica,Bear_education_Rebecca,Bear_education_Lorie,Bear_education_Zandra,Bear_education_Fannie,Bear_education_Alvaro,Lamb_education_Luz,Cockatoo_education_Eunice,Cockatoo_education_Evangeline,Cockatoo_education_Flora,Cockatoo_education_Marva
2016-01-01 00:00:00,0.0,,0.0,0.0,0.0,0.0,174.49,463.8,146.99,468.71,227.38,687.44,86.59,893.28,76.47,84.86,,706.0534,334.08,838.8,364.95,358.4388,31.5,324.85,201.225,664.075,104.575
2016-01-01 01:00:00,0.0,,0.0,0.0,0.0,0.0,175.57,440.84,146.39,467.16,287.21,687.72,85.2,920.67,76.66,85.54,,699.92,339.84,837.5,370.075,355.899,64.8,325.0,193.025,646.725,103.725
2016-01-01 02:00:00,0.0,,0.0,0.0,0.0,0.0,175.16,425.25,148.43,466.5,249.37,688.59,84.77,921.76,75.79,85.44,,697.5939999999997,328.32,836.75,366.1,328.1848,63.5,372.325,198.3,637.9,103.8
2016-01-01 03:00:00,0.0,,0.0,0.0,0.0,0.0,177.45,427.84,149.72,461.72,236.1,691.11,84.83,920.43,76.43,86.74,,697.5263,339.84,838.25,364.825,326.341,73.8,380.925,193.825,637.35,101.075
2016-01-01 04:00:00,0.0,,0.0,0.0,0.0,0.0,177.89,438.37,146.86,461.32,246.47,691.71,84.81,922.64,75.36,88.14,,694.0175,334.08,839.25,366.025,325.4633,70.9,384.45,196.65,642.725,102.925
2016-01-01 05:00:00,0.0,,0.0,0.0,0.0,0.0,178.04,434.18,147.66,459.76,244.41,697.99,84.31,919.75,90.28,95.86,,698.3134,264.96,839.0,366.7,327.343,70.4,381.675,193.875,645.55,106.575
2016-01-01 06:00:00,0.0,,0.0,0.0,0.0,0.0,178.87,472.21,148.11,469.25,248.94,698.44,86.09,922.06,136.72,105.42,,704.3482,368.64,835.0,364.6246,370.6873,69.4,422.425,201.975,660.825,103.225
2016-01-01 07:00:00,0.0,,0.0,0.0,0.0,0.0,177.48,438.75,150.38,475.09,254.58,697.81,84.75,925.19,138.36,169.27,,695.8797,380.16,833.25,365.2504,383.4048,71.7,413.1,197.275,655.95,104.25
2016-01-01 08:00:00,0.0,,0.0,0.0,0.0,0.0,175.78,449.74,145.77,475.09,272.42,697.56,82.11,925.73,137.87,171.85,,713.4761,385.92,834.0,369.7238,386.1392,72.8,426.875,197.6,659.325,104.9
2016-01-01 09:00:00,0.0,,0.0,0.0,0.0,0.0,175.45,454.86,148.92,468.65,260.05,694.21,82.93,927.08,137.76,168.82,,724.4202,380.16,832.0,366.8753,384.0943,64.8,398.375,195.425,637.475,109.225
2016-01-01 10:00:00,0.0,,0.0,0.0,0.0,0.0,174.8,458.77,152.61,478.61,239.94,686.93,82.72,924.9,136.91,164.86,,734.8631,397.44,831.5,364.1002,386.0478,66.5,394.625,195.2,666.025,108.725
2016-01-01 11:00:00,0.0,,0.0,0.0,0.0,0.0,174.53,476.68,152.11,486.64,215.33,683.44,83.21,927.78,137.35,165.4,,739.654,408.96,831.25,367.1493,387.8797,64.3,427.55,200.85,656.5,100.25
2016-01-01 12:00:00,0.0,,0.0,0.0,0.0,0.0,180.71,480.83,158.7,489.17,214.59,673.48,82.89,906.28,142.81,163.39,,731.0952,414.72,835.5,370.1255,393.528,63.3,429.475,203.3,644.85,103.9
2016-01-01 13:00:00,0.0,,0.0,0.0,0.0,0.0,187.32,471.73,158.63,503.09,206.93,666.48,81.8,924.62,144.63,163.67,,743.0833,403.2,836.25,365.2759,393.3038,64.5,393.25,200.7,657.35,101.3
2016-01-01 14:00:00,0.0,,0.0,0.0,0.0,0.0,187.33,481.19,159.05,502.49,194.59,657.83,82.64,928.19,142.21,164.26,,749.89,408.96,840.5,367.225,395.7398,63.4,404.775,207.325,676.425,108.925
2016-01-01 15:00:00,0.0,,0.0,0.0,0.0,0.0,176.85,488.0,160.62,498.25,183.65,649.92,84.45,933.17,139.86,167.68,,752.1293,391.68,859.25,370.975,394.45,64.8,401.7,207.4,656.325,113.85
