timestamp,Panther_education_Janis,Panther_education_Diann,Panther_education_Cleopatra,Robin_education_Lizbeth,Robin_education_Cecilia,Robin_education_Takako,Fox_education_Melvin
2016-01-01 00:00:00,0.0,0.0,0.0,46.8,16.3061,74.9,37.27
2016-01-01 01:00:00,0.0,0.0,0.0,90.4,32.6122,151.1,38.36
2016-01-01 02:00:00,0.0,0.0,0.0,92.0,32.6122,150.2,38.12
2016-01-01 03:00:00,0.0,0.0,0.0,91.0,32.6122,148.2,38.05
2016-01-01 04:00:00,0.0,0.0,0.0,91.8,32.6122,149.6,48.08
2016-01-01 05:00:00,0.0,0.0,0.0,91.0,32.6122,149.8,67.9
2016-01-01 06:00:00,0.0,0.0,0.0,89.0,32.6122,152.7,113.05
2016-01-01 07:00:00,0.0,0.0,0.0,74.0,32.6122,156.2,113.7
2016-01-01 08:00:00,0.0,0.0,0.0,72.4,32.6122,155.1,114.64
2016-01-01 09:00:00,0.0,0.0,1.4003,73.4,32.6122,158.4,113.21
2016-01-01 10:00:00,0.0,0.0,0.0,73.8,32.6122,157.0,112.62
2016-01-01 11:00:00,0.0,0.0,0.0,74.6,32.6122,157.3,114.07
2016-01-01 12:00:00,0.0,0.0,0.0,75.8,32.6122,158.2,112.42
2016-01-01 13:00:00,0.0,0.0,0.0,75.8,32.6122,158.7,112.98
2016-01-01 14:00:00,0.0,0.0,0.0,75.2,32.6122,158.8,112.95
2016-01-01 15:00:00,0.0,0.0,0.0,75.8,32.6122,160.9,113.75
2016-01-01 16:00:00,0.0,0.0,0.0,74.8,32.6122,158.1,113.64
2016-01-01 17:00:00,0.0,0.0,0.0,74.4,32.6122,157.4,113.44
2016-01-01 18:00:00,0.0,0.0,0.0,75.2,32.6122,153.8,113.25
2016-01-01 19:00:00,0.0,0.0,0.0,75.2,32.6122,148.4,113.36
2016-01-01 20:00:00,0.0,0.0,0.0,74.2,32.6122,148.4,83.3
2016-01-01 21:00:00,0.0,0.0,0.0,73.8,32.6122,150.2,57.51
2016-01-01 22:00:00,0.0,0.0,0.0,73.6,32.6122,148.6,43.37
2016-01-01 23:00:00,0.0,0.0,0.0,72.8,32.6122,149.3,36.91
2016-01-02 00:00:00,0.0,0.0,0.0,101.2,31.8061,135.5,38.28
2016-01-02 01:00:00,0.0,0.0,1.4003,103.0,30.3061,150.5,37.83
2016-01-02 02:00:00,0.0,0.0,0.0,102.4,24.0,147.4,37.96
2016-01-02 03:00:00,0.0,0.0,0.0,104.0,24.5,142.5,37.18
2016-01-02 04:00:00,0.0,0.0,0.0,105.6,24.5,143.7,38.28
2016-01-02 05:00:00,0.0,0.0,1.4003,106.0,27.0,138.3,48.71
2016-01-02 06:00:00,0.0,0.0,0.0,105.2,21.0,141.3,54.39
2016-01-02 07:00:00,0.0,0.0,0.0,105.2,41.0,144.7,52.86
2016-01-02 08:00:00,0.0,0.0,0.0,106.6,40.5,143.9,53.75
2016-01-02 09:00:00,0.0,0.0,0.0,105.6,36.0,146.6,52.32
2016-01-02 10:00:00,0.0,0.0,0.0,106.4,35.0,145.4,52.72
2016-01-02 11:00:00,0.0,0.0,0.0,107.0,35.0,143.5,52.48
2016-01-02 12:00:00,0.0,0.0,0.0,107.8,37.5,141.6,52.95
2016-01-02 13:00:00,0.0,0.0,0.0,108.4,37.5,142.7,52.47
2016-01-02 14:00:00,0.0,0.0,0.0,107.0,36.5,135.1,53.34
2016-01-02 15:00:00,0.0,0.0,0.0,108.6,39.5,135.4,52.19
2016-01-02 16:00:00,0.0,0.0,0.0,108.2,36.0,133.3,52.12
2016-01-02 17:00:00,0.0,0.0,0.0,110.2,37.5,134.2,51.96
2016-01-02 18:00:00,0.0,0.0,0.0,109.4,37.5,124.5,51.79
2016-01-02 19:00:00,0.0,0.0,0.0,108.0,38.0,123.6,52.82
2016-01-02 20:00:00,0.0,0.0,0.0,108.2,39.0,122.7,53.23
2016-01-02 21:00:00,0.0,0.0,0.0,106.6,36.0,124.8,53.13
2016-01-02 22:00:00,0.0,0.0,0.0,105.2,38.0,121.6,42.03
2016-01-02 23:00:00,0.0,0.0,0.0,107.2,37.0,125.0,37.68
2016-01-03 00:00:00,0.0,0.0,0.0,104.6,25.0,137.0,37.33
2016-01-03 01:00:00,0.0,0.0,0.0,103.8,25.5,126.3,38.16
2016-01-03 02:00:00,0.0,0.0,0.0,102.8,25.0,125.4,38.21
2016-01-03 03:00:00,0.0,0.0,0.0,101.2,25.0,138.5,38.68
2016-01-03 04:00:00,0.0,0.0,0.0,100.2,23.0,141.3,37.56
2016-01-03 05:00:00,0.0,0.0,0.0,99.6,27.0,144.4,47.67
2016-01-03 06:00:00,0.0,0.0,0.0,91.2,22.5,149.6,53.81
2016-01-03 07:00:00,0.0,0.0,1.4003,92.2,42.0,154.6,54.05
2016-01-03 08:00:00,0.0,0.0,0.0,92.0,40.0,159.6,54.1
2016-01-03 09:00:00,0.0,0.0,1.4003,93.0,37.0,156.0,53.36
2016-01-03 10:00:00,0.0,0.0,0.0,104.0,35.0,157.9,52.82
2016-01-03 11:00:00,0.0,0.0,1.4003,105.2,35.0,152.9,53.67
2016-01-03 12:00:00,0.0,0.0,0.0,105.4,37.0,153.8,52.62
2016-01-03 13:00:00,0.0,0.0,0.0,104.4,37.0,153.8,53.43
2016-01-03 14:00:00,0.0,0.0,0.0,103.2,37.0,154.6,53.33
2016-01-03 15:00:00,0.0,0.0,0.0,104.8,39.5,152.2,52.26
2016-01-03 16:00:00,0.0,0.0,0.0,105.8,37.0,153.8,52.32
2016-01-03 17:00:00,0.0,0.0,0.0,107.2,36.5,152.2,53.44
2016-01-03 18:00:00,0.0,0.0,0.0,107.8,38.5,151.8,53.25
2016-01-03 19:00:00,0.0,0.0,0.0,105.4,39.5,145.9,51.91
2016-01-03 20:00:00,0.0,0.0,0.0,104.8,38.5,141.0,52.61
2016-01-03 21:00:00,0.0,0.0,0.0,105.4,35.5,142.6,53.1
2016-01-03 22:00:00,0.0,0.0,0.0,104.6,40.5,141.6,43.05
2016-01-03 23:00:00,0.0,0.0,1.4403,102.0,36.0,143.1,37.4
2016-01-04 00:00:00,0.0,0.0,0.0,105.0,25.0,146.3,38.65
2016-01-04 01:00:00,0.0,0.0,0.0,101.4,24.5,145.8,37.37
2016-01-04 02:00:00,0.0,0.0,0.0,101.4,25.5,147.9,38.48
2016-01-04 03:00:00,0.0,0.0,0.0,101.4,26.0,146.9,39.24
2016-01-04 04:00:00,0.0,0.0,0.0,100.6,21.5,145.3,92.65
2016-01-04 05:00:00,0.0,0.0,0.0,103.4,27.0,149.3,112.92
2016-01-04 06:00:00,0.0,0.0,0.0,110.4,23.5,155.0,113.52
2016-01-04 07:00:00,0.0,0.0,1.4003,106.4,44.5,157.4,112.95
2016-01-04 08:00:00,0.0,0.0,0.0,103.0,40.0,171.5,112.73
2016-01-04 09:00:00,0.0,0.0,0.0,106.6,41.5,174.9,107.56
2016-01-04 10:00:00,0.0,0.0,0.0,112.8,45.0,187.7,101.42
2016-01-04 11:00:00,0.0,0.0,0.0,118.2,56.5,195.9,102.38
2016-01-04 12:00:00,0.0,0.0,0.0,123.4,64.0,186.9,102.32
2016-01-04 13:00:00,0.0,0.0,0.0,124.6,65.5,181.8,101.61
2016-01-04 14:00:00,0.0,0.0,0.0,126.4,62.5,182.6,101.87
2016-01-04 15:00:00,0.0,0.0,0.0,125.8,62.0,180.3,102.09
2016-01-04 16:00:00,0.0,0.0,0.0,128.6,68.0,175.4,101.8
2016-01-04 17:00:00,0.0,0.0,0.0,125.0,67.0,171.4,101.38
2016-01-04 18:00:00,0.0,0.0,0.0,121.6,63.0,162.5,101.71
2016-01-04 19:00:00,0.0,0.0,0.0,120.2,57.0,154.4,101.53
2016-01-04 20:00:00,0.0,0.0,0.0,119.0,47.0,151.0,88.17
2016-01-04 21:00:00,0.0,0.0,0.0,118.6,44.0,152.5,50.82
2016-01-04 22:00:00,0.0,0.0,0.0,114.8,40.5,151.7,23.4
2016-01-04 23:00:00,0.0,0.0,0.0,113.6,39.5,149.3,19.56
2016-01-05 00:00:00,0.0,0.0,0.0,101.4,22.0,142.5,19.51
2016-01-05 01:00:00,0.0,0.0,0.0,105.8,27.0,150.7,19.91
2016-01-05 02:00:00,0.0,0.0,0.0,105.4,28.0,149.5,19.49
2016-01-05 03:00:00,0.0,0.0,0.0,109.0,26.5,144.3,18.54
2016-01-05 04:00:00,0.0,0.0,0.0,105.6,26.5,145.1,30.72
2016-01-05 05:00:00,0.0,0.0,0.0,111.0,39.5,145.4,50.96
2016-01-05 06:00:00,0.0,0.0,0.0,114.4,39.5,151.0,100.25
2016-01-05 07:00:00,0.0,0.0,0.0,110.2,46.5,151.3,99.9
2016-01-05 08:00:00,0.0,0.0,0.0,85.2,46.0,159.6,100.98
2016-01-05 09:00:00,0.0,0.0,0.0,75.6,47.5,169.9,101.02
2016-01-05 10:00:00,0.0,0.0,0.0,84.6,54.0,177.0,104.27
2016-01-05 11:00:00,0.0,0.0,0.0,129.8,57.5,182.9,106.9
2016-01-05 12:00:00,0.0,0.0,0.0,127.4,57.5,185.2,111.21
2016-01-05 13:00:00,0.0,0.0,0.0,130.6,56.5,187.1,111.28
2016-01-05 14:00:00,0.0,0.0,0.0,128.8,59.0,192.7,111.01
2016-01-05 15:00:00,0.0,0.0,0.0,142.8,59.0,181.2,106.83
2016-01-05 16:00:00,0.0,0.0,0.0,129.8,55.0,174.3,106.65
2016-01-05 17:00:00,0.0,0.0,0.0,130.0,61.5,161.9,103.69
2016-01-05 18:00:00,0.0,0.0,0.0,125.6,53.5,154.5,104.35
2016-01-05 19:00:00,0.0,0.0,0.0,124.2,49.0,142.2,103.33
2016-01-05 20:00:00,0.0,0.0,0.0,123.0,45.0,140.8,87.44
2016-01-05 21:00:00,0.0,0.0,1.3203,121.8,43.0,137.4,52.56
2016-01-05 22:00:00,0.0,0.0,0.0,121.4,38.5,136.8,27.76
2016-01-05 23:00:00,0.0,0.0,0.0,114.6,38.5,137.3,22.9
2016-01-06 00:00:00,0.0,0.0,0.0,107.8,32.948,139.8,23.86
2016-01-06 01:00:00,0.0,0.0,0.0,107.6,42.8961,139.7,22.48
2016-01-06 02:00:00,0.0,0.0,0.0,106.8,42.8961,136.1,22.7
2016-01-06 03:00:00,0.0,0.0,0.0,106.8,42.8961,138.2,23.03
2016-01-06 04:00:00,0.0,0.0,0.0,106.2,42.8961,138.7,34.07
2016-01-06 05:00:00,0.0,0.0,0.0,108.8,42.8961,141.5,52.99
2016-01-06 06:00:00,0.0,0.0,0.0,111.2,42.8961,143.1,101.85
2016-01-06 07:00:00,0.0,0.0,1.3203,107.2,42.8961,147.4,101.84
2016-01-06 08:00:00,0.0,0.0,0.0,106.0,42.8961,156.9,101.75
2016-01-06 09:00:00,0.0,0.0,0.0,111.0,42.8961,170.4,102.8
2016-01-06 10:00:00,0.0,0.0,0.0,118.4,42.8961,175.1,107.1
2016-01-06 11:00:00,0.0,0.0,1.2803,120.8,42.8961,182.3,116.94
2016-01-06 12:00:00,0.0,0.0,0.0,123.0,42.8961,177.0,115.34
2016-01-06 13:00:00,0.0,0.0,0.0,139.8,42.8961,179.3,116.82
2016-01-06 14:00:00,0.0,0.0,0.0,130.0,42.8961,175.5,115.33
2016-01-06 15:00:00,0.0,0.0,0.0,128.4,42.8961,176.2,116.56
2016-01-06 16:00:00,0.0,0.0,0.0,126.8,42.8961,174.4,116.56
2016-01-06 17:00:00,0.0,0.0,0.0,126.4,42.8961,164.1,116.49
2016-01-06 18:00:00,0.0,0.0,0.0,125.0,42.8961,158.4,114.79
2016-01-06 19:00:00,0.0,0.0,0.0,122.0,42.8961,151.0,116.05
2016-01-06 20:00:00,0.0,0.0,0.0,118.0,42.8961,144.0,100.17
2016-01-06 21:00:00,0.0,0.0,0.0,116.8,42.8961,144.1,64.09
2016-01-06 22:00:00,0.0,0.0,0.0,115.6,42.8961,143.3,41.11
2016-01-06 23:00:00,0.0,0.0,0.0,109.0,42.8961,140.9,35.39
2016-01-07 00:00:00,0.0,0.0,0.0,95.2,42.8961,141.8,36.84
2016-01-07 01:00:00,0.0,0.0,0.0,108.2,42.8961,142.1,35.53
2016-01-07 02:00:00,0.0,0.0,0.0,109.2,42.8961,141.7,37.02
2016-01-07 03:00:00,0.0,0.0,0.5601,109.4,42.8961,141.6,35.94
2016-01-07 04:00:00,0.0,0.0,0.0,106.8,42.8961,142.1,47.52
2016-01-07 05:00:00,0.0,0.0,0.0,109.8,42.8961,143.0,68.35
2016-01-07 06:00:00,0.0,0.0,0.0,112.2,42.8961,148.8,115.57
2016-01-07 07:00:00,0.0,0.0,0.0,109.4,42.8961,150.2,116.89
2016-01-07 08:00:00,0.0,0.0,0.0,108.2,42.8961,157.1,116.39
2016-01-07 09:00:00,0.0,0.0,0.0,115.6,42.8961,163.9,116.85
2016-01-07 10:00:00,0.0,0.0,0.0,124.2,42.8961,172.7,116.3
2016-01-07 11:00:00,0.0,0.0,0.0,129.4,42.8961,171.8,117.28
2016-01-07 12:00:00,0.0,0.0,0.0,128.0,42.8961,178.5,117.01
2016-01-07 13:00:00,0.0,0.0,0.0,124.4,42.8961,179.0,117.23
2016-01-07 14:00:00,0.0,0.0,0.0,119.8,42.8961,186.0,116.54
2016-01-07 15:00:00,0.0,0.0,0.0,118.4,42.8961,178.9,115.98
2016-01-07 16:00:00,0.0,0.0,0.0,117.6,42.8961,172.0,115.87
2016-01-07 17:00:00,0.0,0.0,1.2002,114.2,42.8961,167.1,115.62
2016-01-07 18:00:00,0.0,0.0,0.0,113.8,42.8961,155.1,114.77
2016-01-07 19:00:00,0.0,0.0,0.0,112.0,42.8961,149.2,116.36
2016-01-07 20:00:00,0.0,0.0,0.0,107.4,42.8961,144.6,101.59
2016-01-07 21:00:00,0.0,0.0,0.0,108.0,42.8961,147.4,65.44
2016-01-07 22:00:00,0.0,0.0,0.0,101.0,42.8961,142.6,61.73
2016-01-07 23:00:00,0.0,0.0,0.0,85.4,42.8961,141.7,37.2
2016-01-08 00:00:00,0.0,0.0,0.0,85.6,42.8961,142.8,35.38
2016-01-08 01:00:00,0.0,0.0,0.0,84.8,42.8961,137.6,35.29
2016-01-08 02:00:00,0.0,0.0,0.0,86.4,42.8961,139.4,35.27
2016-01-08 03:00:00,0.0,0.0,0.0,87.4,42.8961,137.4,35.22
2016-01-08 04:00:00,0.0,0.0,0.0,86.8,42.8961,141.6,46.86
2016-01-08 05:00:00,0.0,0.0,0.0,90.0,42.8961,139.4,65.91
2016-01-08 06:00:00,0.0,0.0,0.0,85.8,42.8961,148.6,114.96
2016-01-08 07:00:00,0.0,0.0,0.0,83.4,42.8961,150.9,115.13
2016-01-08 08:00:00,0.0,0.0,0.0,80.0,42.8961,164.1,115.3
2016-01-08 09:00:00,0.0,0.0,0.0,87.0,42.8961,178.6,116.09
2016-01-08 10:00:00,0.0,0.0,0.0,98.0,42.8961,183.4,115.45
2016-01-08 11:00:00,0.0,0.0,0.0,104.4,42.8961,180.6,114.72
2016-01-08 12:00:00,0.0,0.0,0.0,100.2,42.8961,184.9,115.81
2016-01-08 13:00:00,0.0,0.0,0.0,99.2,42.8961,189.9,114.94
2016-01-08 14:00:00,0.0,0.0,0.0,109.2,42.8961,188.3,116.54
2016-01-08 15:00:00,0.0,0.0,0.0,108.2,42.8961,181.3,115.32
2016-01-08 16:00:00,0.0,0.0,0.0,100.6,42.8961,178.7,116.32
2016-01-08 17:00:00,0.0,0.0,0.0,100.8,42.8961,176.9,115.63
2016-01-08 18:00:00,0.0,0.0,0.0,98.8,42.8961,167.4,115.95
2016-01-08 19:00:00,0.0,0.0,0.0,93.6,42.8961,153.1,114.59
2016-01-08 20:00:00,0.0,0.0,0.0,93.2,42.8961,151.3,82.76
2016-01-08 21:00:00,0.0,0.0,0.0,92.6,42.8961,147.4,55.92
2016-01-08 22:00:00,0.0,0.0,0.0,92.4,42.8961,148.9,52.68
2016-01-08 23:00:00,0.0,0.0,0.0,91.6,42.8961,145.0,52.87
2016-01-09 00:00:00,0.0,0.0,0.0,104.4,42.8961,149.5,36.26
2016-01-09 01:00:00,0.0,0.0,0.0,106.4,42.8961,144.6,35.32
2016-01-09 02:00:00,0.0,0.0,0.0,111.4,42.8961,144.6,34.89
2016-01-09 03:00:00,0.0,0.0,0.0,113.4,42.8961,142.3,34.58
2016-01-09 04:00:00,0.0,0.0,0.0,113.4,42.8961,144.8,29.96
2016-01-09 05:00:00,0.0,0.0,0.0,112.6,42.8961,144.1,41.02
2016-01-09 06:00:00,0.0,0.0,0.0,110.4,42.8961,148.7,55.72
2016-01-09 07:00:00,0.0,0.0,0.0,110.2,42.8961,147.5,56.72
2016-01-09 08:00:00,0.0,0.0,0.0,110.6,42.8961,150.7,57.09
2016-01-09 09:00:00,0.0,0.0,0.0,112.6,42.8961,151.6,57.33
2016-01-09 10:00:00,0.0,0.0,0.0,115.2,42.8961,156.8,56.9
2016-01-09 11:00:00,0.0,0.0,0.0,115.2,42.8961,158.4,53.4
2016-01-09 12:00:00,0.0,0.0,0.0,120.6,42.8961,155.9,55.85
2016-01-09 13:00:00,0.0,0.0,0.0,122.2,42.8961,155.2,59.21
2016-01-09 14:00:00,0.0,0.0,0.0,122.0,42.8961,156.1,59.55
2016-01-09 15:00:00,0.0,0.0,0.0,120.2,42.8961,159.2,59.47
2016-01-09 16:00:00,0.0,0.0,0.0,120.2,42.8961,158.5,59.82
2016-01-09 17:00:00,0.0,0.0,0.0,118.6,42.8961,157.6,59.08
2016-01-09 18:00:00,0.0,0.0,0.0,120.0,42.8961,151.6,59.97
2016-01-09 19:00:00,0.0,0.0,0.0,118.8,42.8961,147.5,59.34
2016-01-09 20:00:00,0.0,0.0,0.0,117.6,42.8961,141.4,58.72
2016-01-09 21:00:00,0.0,0.0,0.0,113.2,42.8961,144.2,59.37
2016-01-09 22:00:00,0.0,0.0,0.0,109.4,42.8961,144.5,55.9
2016-01-09 23:00:00,0.0,0.0,1.6003,109.2,42.8961,147.6,53.74
2016-01-10 00:00:00,0.0,0.0,0.0,105.6,42.8961,147.6,54.27
2016-01-10 01:00:00,0.0,0.0,1.6003,109.4,42.8961,149.6,53.07
2016-01-10 02:00:00,0.0,0.0,0.0,103.4,42.8961,146.5,53.35
2016-01-10 03:00:00,0.0,0.0,0.0,99.0,42.8961,147.2,52.62
2016-01-10 04:00:00,0.0,0.0,0.0,97.0,42.8961,144.8,53.77
2016-01-10 05:00:00,0.0,0.0,0.0,97.6,42.8961,147.2,57.84
2016-01-10 06:00:00,0.0,0.0,0.0,97.2,42.8961,148.9,59.76
2016-01-10 07:00:00,0.0,0.0,0.0,97.4,42.8961,153.7,58.28
2016-01-10 08:00:00,0.0,0.0,0.0,96.0,42.8961,153.2,59.37
2016-01-10 09:00:00,0.0,0.0,0.0,97.8,42.8961,155.4,59.38
2016-01-10 10:00:00,0.0,0.0,0.0,98.6,42.8961,155.6,59.96
2016-01-10 11:00:00,0.0,0.0,0.0,99.8,42.8961,154.5,59.98
2016-01-10 12:00:00,0.0,0.0,0.0,100.8,42.8961,156.2,60.37
2016-01-10 13:00:00,0.0,0.0,0.0,99.2,42.8961,157.2,60.82
2016-01-10 14:00:00,0.0,0.0,0.0,98.6,42.8961,157.4,61.77
2016-01-10 15:00:00,0.0,0.0,0.0,99.6,42.8961,158.3,59.95
2016-01-10 16:00:00,0.0,0.0,2.6405,101.2,42.8961,158.4,60.63
2016-01-10 17:00:00,0.0,0.0,0.0,101.0,42.8961,158.6,60.28
2016-01-10 18:00:00,0.0,0.0,0.0,100.2,42.8961,155.4,59.45
2016-01-10 19:00:00,0.0,0.0,0.0,99.8,42.8961,151.5,60.91
2016-01-10 20:00:00,0.0,0.0,0.0,100.4,42.8961,150.1,60.15
2016-01-10 21:00:00,0.0,0.0,0.0,99.2,42.8961,148.8,60.35
2016-01-10 22:00:00,0.0,0.0,0.0,97.4,42.8961,148.4,56.01
2016-01-10 23:00:00,0.0,0.0,0.0,97.2,42.8961,148.5,55.64
2016-01-11 00:00:00,0.0,0.0,0.0,97.8,42.8961,151.6,53.64
2016-01-11 01:00:00,0.0,0.0,0.0,99.0,42.8961,148.3,53.5
