timestamp,Fox_education_Melinda,Fox_education_Otilia,Fox_education_Maureen,Fox_education_Leona,Fox_education_Wendell,Rat_education_Lee,Rat_education_Kathryn,Rat_education_Conrad,Rat_education_Beverly,Rat_education_Elsie,Rat_education_Tania,Bear_education_Bulah,Bear_education_Wilton,Moose_education_Florence,Cockatoo_education_Brigitte,Cockatoo_education_Terrence,Cockatoo_education_Janet,Cockatoo_education_Tyler
2016-01-01 00:00:00,389.98,851.28,,199.99,493.4,284.52,567.13,,424.84,89.47,321.7,1038.62,1384.4254,0.0,584.875,394.35,878.6,727.575
2016-01-01 01:00:00,381.71,846.77,,201.3,494.49,290.52,551.65,,402.82,81.07,277.88,1039.28,1446.6164,0.0,574.725,390.575,879.225,731.2
2016-01-01 02:00:00,378.45,853.38,,192.7,492.17,292.8,550.38,,416.11,82.78,279.91,1037.74,1432.0361,0.0,586.575,380.05,887.9,724.675
2016-01-01 03:00:00,367.82,847.58,,191.43,489.68,289.89,553.18,,420.67,82.45,280.22,1040.82,1433.3807,0.0,576.675,378.975,886.7,737.375
2016-01-01 04:00:00,359.33,848.38,,189.62,492.7,290.01,557.38,,414.92,315.28,282.89,1038.4,1429.0385,0.0,586.5,364.6,895.825,721.15
2016-01-01 05:00:00,356.97,849.21,,190.1,490.22,296.01,678.05,,418.86,339.04,301.06,1046.539,1403.0822,0.0,622.6,396.35,910.525,726.625
2016-01-01 06:00:00,353.21,863.22,,196.23,489.94,317.46,691.98,,430.03,316.21,335.23,1082.18,1394.2434,0.0,657.975,388.075,917.675,734.65
2016-01-01 07:00:00,349.0,864.5,,197.49,487.61,545.97,689.95,,429.51,327.97,390.25,1089.66,1386.7641,0.0,703.35,390.425,924.525,747.7
2016-01-01 08:00:00,338.74,857.55,,191.97,481.14,539.01,694.44,,431.59,325.75,381.6,1093.18,1410.5276,0.0,720.625,392.65,922.45,746.575
2016-01-01 09:00:00,346.93,864.51,,193.81,481.38,444.48,695.48,,433.15,350.08,380.5,1097.36,1442.9022,0.0,730.65,380.05,921.475,741.075
2016-01-01 10:00:00,362.55,866.24,,194.19,485.54,362.97,701.36,,488.02,351.4,375.29,1089.22,1486.8312,0.0,730.2,383.525,947.5,747.2
2016-01-01 11:00:00,392.96,868.85,,196.69,488.76,283.8,706.83,,489.64,333.31,377.18,1098.24,1528.3282,0.0,730.175,379.25,950.875,761.4
2016-01-01 12:00:00,409.77,865.48,,194.53,491.79,271.92,694.31,,488.91,329.44,375.13,1122.88,1545.9491,0.0,738.375,382.125,956.65,749.025
2016-01-01 13:00:00,420.59,856.49,,195.54,498.25,273.96,689.81,,482.34,324.01,377.55,1133.0,1563.5142,0.0,747.25,375.175,952.75,742.9
2016-01-01 14:00:00,420.47,864.89,,195.01,497.77,296.16,696.49,,485.45,317.17,379.43,1131.68,1574.9811,0.0,766.2,384.425,947.55,747.775
2016-01-01 15:00:00,415.62,864.12,,200.29,499.67,328.68,706.69,,414.48,323.05,376.56,1155.44,1582.083,0.0,743.25,385.0,956.425,749.975
2016-01-01 16:00:00,419.28,858.36,,205.81,499.91,348.42,707.35,,414.15,327.01,374.26,1120.24,1560.4557,0.0,752.9,396.525,948.55,752.7
2016-01-01 17:00:00,418.03,854.48,,203.85,490.96,386.28,704.66,,433.96,303.04,379.35,1103.52,1549.6013,0.0,743.275,395.0,951.75,757.3
2016-01-01 18:00:00,424.03,861.29,,203.1,485.64,399.06,694.74,,441.42,297.79,383.47,1107.26,1459.5221,0.0,729.75,396.4,934.2,747.8
2016-01-01 19:00:00,420.03,858.76,,201.85,486.83,427.08,698.19,,447.66,298.27,310.03,1092.74,1391.9389,0.0,702.0,398.475,945.825,746.6
2016-01-01 20:00:00,416.65,857.9,,203.85,485.36,427.59,698.64,,469.22,303.19,308.84,1065.02,1392.6208,0.0,668.625,397.375,892.85,762.825
2016-01-01 21:00:00,413.42,860.14,,201.83,484.97,423.63,668.79,,469.9,127.15,307.89,1063.92,1362.4922,0.0,628.8,403.45,887.3,742.725
2016-01-01 22:00:00,409.58,850.98,,201.73,484.9,416.91,552.5,,467.21,97.96,277.55,1039.94,1354.0166,0.0,621.0,397.55,888.675,737.15
2016-01-01 23:00:00,403.5,848.35,,201.67,483.28,316.17,555.56,,507.47,96.04,280.19,1046.1,1345.0387,0.0,584.25,400.075,843.15,740.375
2016-01-02 00:00:00,400.73,839.48,,202.0,486.32,297.51,557.43,,472.92,96.37,280.57,1042.14,1344.9766,0.0,583.6,397.225,848.8,742.475
2016-01-02 01:00:00,397.97,841.66,,202.52,486.46,294.78,559.47,,449.5,94.78,278.11,1042.14,1344.0221,0.0,583.3,387.075,842.6,740.6
2016-01-02 02:00:00,397.07,847.85,,193.01,488.62,296.94,558.92,,447.91,104.92,276.6,1045.44,1329.1046,0.0,588.875,386.95,844.2,740.7
2016-01-02 03:00:00,401.47,851.12,,193.71,488.55,294.63,560.42,,476.33,89.08,279.16,1045.0,1317.9267,0.0,573.575,384.2,855.2,741.925
2016-01-02 04:00:00,399.85,845.94,,191.22,488.59,309.42,565.56,,444.41,86.8,281.43,1041.92,1340.3664,0.0,585.75,386.75,861.875,735.2
2016-01-02 05:00:00,400.79,845.31,,192.16,487.19,312.72,688.75,,441.85,94.84,279.04,1046.76,1336.2875,0.0,639.45,384.725,892.1,734.35
2016-01-02 06:00:00,400.21,853.55,,207.97,486.81,380.97,706.2,,473.24,106.12,279.42,1082.4,1317.3812,0.0,661.825,385.6,888.625,746.775
2016-01-02 07:00:00,399.87,859.83,,223.41,486.47,373.38,704.94,,518.9,205.09,309.41,1094.06,1331.9389,0.0,709.7,390.05,911.425,748.925
2016-01-02 08:00:00,395.71,854.86,,221.13,483.72,393.03,704.93,,503.36,353.89,335.19,1097.36,1364.924,0.0,703.6,394.725,897.325,752.5
2016-01-02 09:00:00,403.46,854.96,,221.52,483.23,397.05,705.03,,461.55,335.26,363.82,1104.62,1384.3463,0.0,716.375,367.575,928.225,748.075
2016-01-02 10:00:00,407.32,850.57,,226.83,489.54,358.56,706.46,,457.49,360.34,372.76,1104.62,1401.5394,0.0,721.425,388.1,947.425,745.15
2016-01-02 11:00:00,413.07,860.75,,230.12,491.92,328.59,704.37,,454.91,360.82,375.2,1115.4,1429.9022,0.0,750.975,383.55,962.05,746.925
2016-01-02 12:00:00,422.22,878.55,,231.6,498.14,369.36,700.7,,461.27,365.14,376.89,1117.6,1449.9374,0.0,740.875,386.85,961.7,749.25
2016-01-02 13:00:00,421.09,879.83,,236.59,499.34,374.13,691.97,,439.26,346.87,378.97,1125.74,1447.3725,0.0,741.575,390.725,954.425,751.95
2016-01-02 14:00:00,419.98,883.5,,233.6,495.44,345.69,694.35,,436.79,330.49,381.25,1136.96,1456.0166,0.0,732.0,380.125,943.975,751.7251
2016-01-02 15:00:00,421.09,881.06,,231.79,497.94,294.48,687.65,,434.08,318.49,380.06,1141.8,1451.1414,0.0,741.375,384.625,940.125,754.65
2016-01-02 16:00:00,417.33,865.53,,226.95,495.32,343.08,688.7,,429.71,319.96,377.56,1120.24,1453.8549,0.0,751.825,402.3,946.35,756.375
2016-01-02 17:00:00,418.69,848.44,,217.09,492.34,350.37,693.29,,422.29,244.81,369.35,1121.34,1443.6255,0.0,759.375,402.65,926.525,751.575
2016-01-02 18:00:00,417.78,844.42,,204.84,498.1,331.68,699.31,,412.35,205.6,346.64,1131.46,1437.4428,0.0,745.675,399.85,930.375,752.275
2016-01-02 19:00:00,414.79,849.05,,203.76,490.95,323.82,700.67,,431.93,205.51,277.81,1119.139,1431.7720000000006,0.0,705.025,402.05,920.475,750.375
2016-01-02 20:00:00,413.18,835.31,,203.41,492.9,325.05,699.88,,459.27,201.91,273.59,1081.08,1407.3105,0.0,654.925,398.425,885.95,756.5
2016-01-02 21:00:00,413.56,828.92,,201.95,490.19,331.2,668.06,,459.32,121.87,274.48,1075.58,1391.7215,0.0,627.95,399.2,883.45,749.85
2016-01-02 22:00:00,407.34,834.81,,200.6,483.87,326.07,551.21,,463.21,119.83,274.98,1060.18,1376.3781,0.0,618.025,395.9,877.7,738.225
2016-01-02 23:00:00,405.58,838.57,,199.81,483.45,284.58,558.13,,474.53,137.08,276.0,1075.36,1355.2999,0.0,594.2,389.55,854.4,735.9
2016-01-03 00:00:00,402.36,839.2,,201.48,479.36,295.32,561.05,,439.24,118.63,290.14,1096.04,1387.8339,0.0,603.65,388.65,871.85,736.55
2016-01-03 01:00:00,399.89,830.19,,201.48,481.89,299.25,560.91,,437.62,104.14,293.66,1087.24,1374.5499,0.0,589.55,388.35,837.35,733.225
2016-01-03 02:00:00,400.18,831.88,,191.08,480.96,290.43,562.74,,439.77,106.63,275.48,1083.5,1378.9557,0.0,588.0,391.975,856.55,730.2
2016-01-03 03:00:00,397.26,832.85,,192.63,478.49,296.43,560.66,,442.62,104.95,277.63,1087.68,1380.3773,0.0,584.75,382.85,855.725,728.125
2016-01-03 04:00:00,399.96,830.51,,189.96,484.57,298.74,564.91,,441.89,102.46,276.94,1089.0,1386.6595,0.0,588.9,385.4,867.525,728.375
2016-01-03 05:00:00,404.57,836.26,,190.55,483.33,299.22,681.26,,456.33,105.67,277.49,1100.22,1388.9709,0.0,631.1,384.425,895.775,723.25
2016-01-03 06:00:00,406.85,845.24,,196.71,484.03,373.2,700.9,,482.1,87.46,276.81,1131.24,1404.9851,0.0,651.375,392.4,912.425,741.05
2016-01-03 07:00:00,407.14,844.33,,198.71,482.98,371.49,699.9,,482.65,201.88,305.28,1143.12,1407.9908,0.0,681.325,388.875,911.75,739.45
2016-01-03 08:00:00,399.14,840.41,,192.85,481.51,364.14,703.8,,456.7,341.29,362.22,1143.12,1411.8825,0.0,691.275,387.575,907.525,748.075
2016-01-03 09:00:00,405.5,836.95,,195.83,480.06,357.69,712.89,,454.69,370.81,389.54,1152.8,1433.4762,0.0,696.525,383.075,915.0,740.425
2016-01-03 10:00:00,409.28,834.46,,196.2,485.29,316.08,720.5,,451.75,362.95,371.75,1191.52,1459.8275,0.0,698.35,380.925,920.725,747.1
2016-01-03 11:00:00,416.08,845.81,,199.56,491.46,313.56,731.69,,448.08,352.0,371.94,1240.58,1496.47,0.0,728.35,376.325,953.575,743.45
2016-01-03 12:00:00,420.43,853.08,,200.77,493.19,332.04,724.32,,446.05,358.24,372.29,1245.42,1489.9835,0.0,733.275,374.825,938.575,750.5
2016-01-03 13:00:00,426.49,844.45,,202.49,493.82,339.06,708.23,,428.72,347.17,374.73,1304.16,1503.8474,0.0,710.5,377.85,943.8,744.625
2016-01-03 14:00:00,425.99,843.08,,203.43,497.48,311.82,700.23,,426.3,324.64,375.78,1263.24,1505.0479,0.0,748.5,384.475,922.85,746.4749
2016-01-03 15:00:00,429.04,846.6,,196.46,493.55,267.18,689.68,,429.94,326.05,373.93,1252.68,1495.5292,0.0,713.65,381.475,939.825,749.325
2016-01-03 16:00:00,429.93,845.05,,199.04,494.99,289.32,690.69,,427.66,321.67,377.09,1261.92,1485.6646,0.0,747.325,397.85,950.3751,756.2
2016-01-03 17:00:00,420.79,842.4,,201.36,498.16,313.41,689.5,,414.41,286.63,370.07,1267.42,1488.5823,0.0,718.375,392.325,925.575,758.675
2016-01-03 18:00:00,422.52,847.16,,200.56,497.68,294.84,704.56,,416.2,255.16,350.79,1272.92,1479.4148,0.0,722.1,393.85,929.55,764.25
2016-01-03 19:00:00,416.84,839.21,,200.71,492.93,316.98,717.11,,422.65,244.0,281.32,1263.9,1467.4525,0.0,702.9,392.175,914.725,760.3499
2016-01-03 20:00:00,417.8,840.92,,200.34,491.48,322.74,708.32,,457.79,210.7,276.85,1227.82,1465.6209,0.0,674.375,394.375,878.8,757.2
2016-01-03 21:00:00,416.55,832.41,,201.09,493.24,330.09,677.51,,474.3,108.16,276.75,1224.3,1434.6371,0.0,637.275,401.35,891.925,752.375
2016-01-03 22:00:00,411.3,836.05,,200.01,486.74,316.95,559.26,,472.91,89.56,275.64,1207.14,1375.5564,0.0,616.425,393.575,880.35,743.2
2016-01-03 23:00:00,406.31,839.29,,200.82,483.44,296.94,558.61,,480.76,86.83,280.65,1200.76,1359.0122,0.0,610.95,400.25,863.425,752.2
2016-01-04 00:00:00,409.91,833.05,,200.97,481.94,301.26,556.66,,447.7,93.64,280.94,1187.12,1358.6321,0.0,589.325,405.975,876.625,748.8
2016-01-04 01:00:00,407.14,831.42,,201.64,480.56,299.13,560.94,,437.12,97.42,277.27,1193.5,1352.4535,0.0,582.85,400.925,848.125,743.65
2016-01-04 02:00:00,407.98,826.12,,193.18,478.41,298.92,559.67,,445.44,86.56,278.35,1186.9,1350.6547,0.0,589.55,397.175,860.65,746.275
2016-01-04 03:00:00,406.55,833.77,,210.45,478.7,297.51,561.91,,445.57,86.41,278.94,1169.08,1352.4374,0.0,592.925,397.275,882.475,741.825
2016-01-04 04:00:00,407.42,833.63,,217.62,484.08,296.94,567.66,,439.04,319.9,307.57,1166.0,1340.9316,0.0,604.675,393.25,887.875,755.875
2016-01-04 05:00:00,410.88,830.64,,236.12,482.5,298.62,687.66,,446.33,356.59,299.76,1177.22,1335.9878,0.0,687.3,392.025,920.45,763.475
2016-01-04 06:00:00,410.53,831.76,,250.46,484.98,400.95,708.97,,489.6,351.19,326.7,1198.34,1336.0182,0.0,747.4,412.05,953.475,765.7
2016-01-04 07:00:00,418.15,853.7,,254.3,482.7,590.88,733.32,,734.64,357.7,388.54,1216.16,1382.8611,0.0,792.225,428.85,980.725,780.575
2016-01-04 08:00:00,418.74,861.71,,263.22,488.93,614.31,770.48,,981.81,381.61,430.1,1236.18,1489.975,0.0,828.475,435.8,1005.55,788.625
2016-01-04 09:00:00,444.27,944.52,,276.13,514.58,564.12,835.62,,1206.14,424.54,467.75,1243.0,1548.0195,0.0,911.575,436.525,1061.225,795.275
2016-01-04 10:00:00,461.55,980.73,,286.28,529.98,517.77,858.82,,1157.93,425.5,472.53,1269.18,1594.1659,0.0,908.9,437.3,1093.575,825.425
2016-01-04 11:00:00,467.87,977.84,,286.72,542.41,461.55,864.82,,1247.57,393.01,470.95,1297.78,1640.5243,0.0,930.625,443.6,1125.45,825.775
2016-01-04 12:00:00,468.11,1001.43,,291.97,553.15,362.31,850.1,,1227.24,409.06,476.05,1284.8,1647.5857,0.0,923.6,459.45,1105.225,828.975
2016-01-04 13:00:00,466.23,1005.98,,287.72,557.71,344.1,847.58,,1223.03,405.31,491.14,1332.32,1643.7606,0.0,912.975,462.75,1128.3,836.425
2016-01-04 14:00:00,465.29,967.51,,289.86,556.15,370.98,844.3,,1191.9,404.02,478.85,1384.02,1405.0676,0.0,896.025,449.25,1087.525,836.025
2016-01-04 15:00:00,467.55,968.83,,288.43,554.54,439.29,830.66,,1054.66,375.07,459.81,1332.76,1306.5012,0.0,882.2,443.725,1086.9,832.175
2016-01-04 16:00:00,466.49,971.51,,282.14,548.21,500.52,833.25,,964.65,390.01,486.63,1317.14,1466.4343,0.0,874.7,450.675,1065.825,834.175
2016-01-04 17:00:00,448.37,947.57,,271.0,534.93,501.75,826.89,,948.82,404.59,429.29,1320.22,1449.0227,0.0,849.3,456.725,1040.35,800.325
2016-01-04 18:00:00,440.23,909.39,,248.81,519.69,510.54,819.78,,749.06,433.81,411.1,1306.14,1420.313,0.0,787.7,443.075,1018.8,786.825
2016-01-04 19:00:00,429.88,892.6,,232.8,504.41,510.75,809.5,,508.33,399.31,350.87,1280.62,1519.9147,0.0,732.775,427.1,989.9,775.5
2016-01-04 20:00:00,428.07,876.99,,224.55,500.34,496.44,806.3,,584.11,419.32,325.14,1252.68,1541.4485,0.0,696.425,431.725,941.475,779.1
2016-01-04 21:00:00,423.78,872.18,,207.9,504.86,514.89,766.4,,592.25,171.46,304.48,1264.34,1432.5888,0.0,661.4,427.925,909.75,760.45
2016-01-04 22:00:00,419.56,848.97,,206.36,501.38,475.29,624.44,,548.09,130.36,286.77,1243.66,1326.6777,0.0,629.725,440.7,897.775,762.7
2016-01-04 23:00:00,413.25,848.62,,204.53,498.18,332.37,628.09,,535.86,141.1,289.4,1254.88,1303.9673,0.0,608.125,434.175,873.15,761.45
2016-01-05 00:00:00,408.49,852.79,,205.43,491.74,308.97,599.48,,510.13,141.16,277.12,1254.44,1563.4779,0.0,590.875,409.525,883.9,754.975
2016-01-05 01:00:00,408.64,851.38,,203.72,488.91,308.61,593.81,,515.03,110.08,299.99,1241.02,1641.0713,0.0,592.45,428.175,893.325,759.5
2016-01-05 02:00:00,411.53,846.01,,193.68,488.14,425.1,594.14,,512.92,136.21,271.32,1230.02,1629.0206,0.0,600.325,409.35,876.3,762.1
2016-01-05 03:00:00,403.55,843.74,,194.2,490.29,428.76,598.62,,511.14,127.48,277.17,1219.02,1615.9475,0.0,591.75,395.85,878.95,757.425
2016-01-05 04:00:00,404.75,842.47,,193.58,493.81,421.41,600.01,,530.39,365.2,306.72,1228.92,1600.0638,0.0,608.325,416.475,891.625,762.3
2016-01-05 05:00:00,404.72,838.44,,201.9,488.83,433.83,736.09,,550.98,375.4,309.58,1233.54,1595.5886,0.0,671.875,420.125,938.925,773.3
2016-01-05 06:00:00,406.63,847.28,,248.75,489.24,467.22,750.21,,529.41,400.09,317.19,1256.86,1602.9386,0.0,751.875,414.425,976.0,785.1
2016-01-05 07:00:00,418.21,864.76,,253.0,491.49,649.35,769.05,,771.39,428.14,383.19,1266.1,1627.8968,0.0,781.25,443.15,991.825,788.05
2016-01-05 08:00:00,421.07,872.52,,263.78,500.7,684.6,819.19,,1087.79,474.88,389.41,1278.64,1652.7543,0.0,844.55,446.575,1031.7,818.575
2016-01-05 09:00:00,437.47,894.58,,273.18,520.11,645.54,878.43,,1319.4,485.23,416.4,1311.42,1566.955,0.0,906.725,420.5,1052.65,806.925
2016-01-05 10:00:00,456.18,930.53,,275.53,545.27,593.22,869.94,,1282.59,432.88,485.92,1357.18,1558.0366,0.0,941.075,451.75,1086.5,828.1
2016-01-05 11:00:00,465.55,946.5,,286.08,556.07,522.63,831.02,,1300.13,422.38,458.97,1344.86,1632.431,0.0,909.5,450.525,1113.6,824.9
2016-01-05 12:00:00,475.0,960.0,,290.0,556.93,443.25,825.95,,1247.15,432.88,449.14,1343.32,1658.0782,0.0,903.35,456.9,1108.475,836.925
2016-01-05 13:00:00,474.19,966.87,,289.99,558.55,447.27,812.21,,1212.59,410.59,466.39,1332.76,1629.8592,0.0,899.875,450.975,1129.275,848.075
2016-01-05 14:00:00,472.97,961.89,,288.38,562.14,455.25,815.79,,1233.44,408.19,475.08,1323.96,1606.4199,0.0,903.75,439.525,1139.3,846.5
2016-01-05 15:00:00,469.55,953.76,,292.92,559.22,509.4,815.57,,1099.27,399.04,473.95,1339.36,1623.0446,0.0,882.225,432.925,1086.9,842.125
2016-01-05 16:00:00,464.75,945.81,,288.67,552.45,557.61,797.61,,951.59,426.31,468.86,1353.66,1621.915,0.0,857.2,450.175,1073.775,834.0
2016-01-05 17:00:00,449.27,927.74,,283.05,546.81,552.18,783.64,,956.97,424.45,429.37,1347.5,1600.6397,0.0,851.5,441.475,1052.65,827.0
2016-01-05 18:00:00,441.83,902.54,,259.17,524.93,555.12,763.64,,714.55,433.06,416.48,1326.38,1565.5997,0.0,776.975,431.075,1003.975,798.225
2016-01-05 19:00:00,431.36,884.06,,243.17,512.96,562.26,738.48,,430.17,454.15,345.49,1316.04,1541.5966,0.0,734.0,426.025,983.875,783.125
2016-01-05 20:00:00,435.86,877.86,,231.18,507.28,495.42,731.49,,496.53,435.76,331.28,1252.46,1535.0792,0.0,693.175,433.625,926.975,781.175
2016-01-05 21:00:00,432.67,868.21,,212.18,504.97,474.27,699.74,,572.39,196.6,316.14,1225.18,1476.187,0.0,671.65,423.675,899.775,773.575
2016-01-05 22:00:00,437.8,867.28,,206.28,496.5,471.54,572.45,,590.77,185.71,312.63,1210.22,1468.4593,0.0,630.2,421.075,887.525,765.1
2016-01-05 23:00:00,428.35,861.3,,206.06,492.84,299.07,574.75,,515.91,138.88,297.64,1222.54,1452.6457,0.0,607.325,417.725,861.425,766.8
2016-01-06 00:00:00,422.99,860.48,,202.31,490.97,276.81,554.22,,512.05,139.78,278.16,1230.24,1439.4694,0.0,593.875,410.125,872.9,768.7
2016-01-06 01:00:00,422.02,845.6,,201.66,493.93,273.54,545.99,,483.43,122.56,277.12,1241.68,1425.0262,0.0,595.95,390.475,865.175,763.35
