timestamp,Robin_education_Audrea,Rat_education_Carmela,Rat_education_Salvatore,Rat_education_Candida,Bear_education_Merrill,Cockatoo_education_Melanie,Cockatoo_education_Julia
2016-01-01 00:00:00,86.2283,46.19,10.84,114.5,,35.025,25.075
2016-01-01 01:00:00,172.4567,50.47,11.24,119.61,,35.45,24.9
2016-01-01 02:00:00,172.4567,50.86,11.13,120.38,,33.05,24.125
2016-01-01 03:00:00,172.4567,48.87,10.98,111.1,,34.275,24.075
2016-01-01 04:00:00,172.4567,47.08,11.47,123.99,,34.825,25.275
2016-01-01 05:00:00,172.4567,52.29,11.23,134.69,,34.925,24.825
2016-01-01 06:00:00,172.4567,95.14,11.37,134.19,,39.025,36.975
2016-01-01 07:00:00,172.4567,82.56,14.25,123.15,,49.0,39.6
2016-01-01 08:00:00,172.4567,98.22,14.72,132.01,,46.4,33.975
2016-01-01 09:00:00,172.4567,94.65,15.08,125.73,,45.225,31.625
2016-01-01 10:00:00,172.4567,91.93,14.8,126.44,,47.45,29.85
2016-01-01 11:00:00,172.4567,98.84,14.04,122.08,,46.475,32.35
2016-01-01 12:00:00,172.4567,99.38,13.96,120.75,,44.2,28.6
2016-01-01 13:00:00,172.4567,99.32,13.76,124.34,,41.125,29.15
2016-01-01 14:00:00,172.4567,99.32,13.81,114.94,,43.2,29.6
2016-01-01 15:00:00,172.4567,99.76,14.21,106.85,,41.8,30.175
2016-01-01 16:00:00,172.4567,95.46,14.45,108.25,,39.15,31.55
2016-01-01 17:00:00,172.4567,90.11,11.25,116.54,,40.175,31.4
2016-01-01 18:00:00,172.4567,71.27,10.9,115.01,,41.25,31.8
2016-01-01 19:00:00,172.4567,73.09,11.13,114.87,,35.225,31.1
2016-01-01 20:00:00,172.4567,52.2,11.7,123.21,,31.95,26.275
2016-01-01 21:00:00,172.4567,45.75,11.21,112.84,,37.975,26.525
2016-01-01 22:00:00,172.4567,51.12,12.33,124.53,,30.225,26.325
2016-01-01 23:00:00,172.4567,51.34,11.55,114.72,,31.625,26.325
2016-01-02 00:00:00,171.6663,51.24,11.75,112.05,,28.975,25.05
2016-01-02 01:00:00,173.4783,51.35,11.98,117.26,,29.325,26.175
2016-01-02 02:00:00,172.75,51.38,11.67,111.63,,31.95,26.4
2016-01-02 03:00:00,169.5,51.38,11.93,114.56,,32.175,25.2
2016-01-02 04:00:00,172.437,45.47,12.27,128.39,,29.375,25.275
2016-01-02 05:00:00,186.875,51.86,12.01,138.92,,36.25,28.25
2016-01-02 06:00:00,174.125,51.66,12.01,131.9,,39.975,25.75
2016-01-02 07:00:00,171.438,51.71,12.03,133.74,,50.125,29.0
2016-01-02 08:00:00,172.0,51.53,11.81,135.72,,46.2,29.25
2016-01-02 09:00:00,170.062,47.21,11.65,131.22,,50.2,28.025
2016-01-02 10:00:00,172.063,46.66,10.18,129.19,,50.75,32.6
2016-01-02 11:00:00,189.437,51.53,11.07,118.74,,46.7,33.6
2016-01-02 12:00:00,175.25,46.44,10.17,117.81,,47.825,37.15
