timestamp,Panther_office_Patti,Fox_office_Israel,Fox_office_Thelma,Fox_office_Yong,Shrew_office_Sherill,Cockatoo_office_Laila
2016-01-01 00:00:00,0.0,111.08,115.05,197.87,107.0,195.775
2016-01-01 01:00:00,0.0,111.15,127.47,202.36,214.5,193.775
2016-01-01 02:00:00,0.0,111.3,123.65,207.37,212.0,194.85
2016-01-01 03:00:00,0.0,109.02,128.58,207.53,212.0,199.75
2016-01-01 04:00:00,0.0,110.33,138.59,210.97,220.5,196.625
2016-01-01 05:00:00,0.0,114.1,138.92,218.77,228.0,204.6
2016-01-01 06:00:00,0.0,118.34,136.42,225.82,224.0,217.9
2016-01-01 07:00:00,0.0,119.55,142.44,230.59,229.5,221.0
2016-01-01 08:00:00,0.0,115.59,135.82,223.4,246.0,212.325
2016-01-01 09:00:00,0.0,113.59,129.36,200.29,245.0,214.75
2016-01-01 10:00:00,0.0,109.66,107.24,181.64,247.0,213.1
2016-01-01 11:00:00,0.0,106.27,104.83,171.87,245.0,216.425
2016-01-01 12:00:00,0.0,103.87,106.02,164.5,243.5,217.675
2016-01-01 13:00:00,0.0,101.64,96.38,160.92,244.5,220.95
2016-01-01 14:00:00,0.0,100.56,92.71,152.66,242.5,224.0
2016-01-01 15:00:00,0.0,99.41,85.11,149.45,239.0,219.975
2016-01-01 16:00:00,0.0,96.55,79.86,147.66,249.0,222.875
2016-01-01 17:00:00,0.0,96.4,79.2,149.11,248.0,219.2
2016-01-01 18:00:00,0.0,103.24,87.3,156.11,240.0,222.4
2016-01-01 19:00:00,0.0,106.33,88.83,159.74,234.5,220.15
2016-01-01 20:00:00,0.0,105.56,100.54,167.85,232.0,210.625
2016-01-01 21:00:00,0.0,104.09,104.16,93.39,232.5,200.95
2016-01-01 22:00:00,0.0,104.05,101.92,66.36,217.5,204.975
2016-01-01 23:00:00,0.0,103.14,108.63,66.33,216.0,204.575
2016-01-02 00:00:00,0.0,105.93,103.32,67.4,210.5,198.65
2016-01-02 01:00:00,0.0,108.31,105.53,69.28,211.0,207.5
2016-01-02 02:00:00,0.0,111.44,108.02,72.35,211.5,195.8
2016-01-02 03:00:00,0.0,109.72,99.63,81.14,210.0,200.25
2016-01-02 04:00:00,0.0,114.0,115.24,94.4,208.0,201.275
2016-01-02 05:00:00,0.0,115.07,108.14,91.78,223.5,197.925
2016-01-02 06:00:00,0.0,119.53,111.66,89.8,204.0,214.5
2016-01-02 07:00:00,0.0,120.1,120.31,207.47,207.0,219.35
2016-01-02 08:00:00,0.0,112.63,101.49,231.38,208.0,213.65
2016-01-02 09:00:00,0.0,109.9,94.5,189.72,209.0,213.8
2016-01-02 10:00:00,0.0,106.49,88.24,171.64,208.0,219.0
2016-01-02 11:00:00,0.0,105.04,78.59,169.72,211.0,214.175
2016-01-02 12:00:00,0.0,104.77,85.34,161.52,210.5,214.775
2016-01-02 13:00:00,0.0,103.11,78.08,155.98,208.5,223.0
2016-01-02 14:00:00,0.0,101.61,77.64,153.73,208.0,220.725
2016-01-02 15:00:00,0.0,97.02,77.84,149.78,206.5,223.4
2016-01-02 16:00:00,0.0,92.13,71.65,147.51,210.5,222.075
2016-01-02 17:00:00,0.0,94.36,72.5,150.31,212.5,227.45
2016-01-02 18:00:00,0.0,103.58,80.23,155.81,212.0,226.525
2016-01-02 19:00:00,0.0,106.29,85.68,91.73,209.0,211.875
2016-01-02 20:00:00,0.0,110.0,88.43,67.63,211.5,206.275
2016-01-02 21:00:00,0.0,104.02,89.27,68.73,211.5,207.05
2016-01-02 22:00:00,0.0,103.31,90.01,67.74,210.0,191.7
2016-01-02 23:00:00,0.0,102.14,95.28,64.67,211.5,200.025
2016-01-03 00:00:00,0.0,102.57,95.28,67.43,211.0,198.35
2016-01-03 01:00:00,0.0,102.62,96.21,68.63,212.0,194.725
2016-01-03 02:00:00,0.0,103.97,97.79,69.9,208.5,192.925
2016-01-03 03:00:00,0.0,104.92,93.15,68.93,210.5,194.275
2016-01-03 04:00:00,0.0,108.0,98.84,70.77,208.5,195.85
2016-01-03 05:00:00,0.0,107.49,98.43,71.87,225.5,198.675
2016-01-03 06:00:00,0.0,114.54,94.34,73.26,209.5,206.325
2016-01-03 07:00:00,0.0,115.25,95.63,176.1,207.0,215.425
2016-01-03 08:00:00,0.0,110.03,97.91,211.34,208.5,213.25
2016-01-03 09:00:00,0.0,108.13,85.5,175.13,209.0,214.025
2016-01-03 10:00:00,0.0,104.17,83.33,166.48,210.0,215.325
2016-01-03 11:00:00,0.0,103.25,79.19,157.0,210.0,220.875
2016-01-03 12:00:00,0.0,100.1,77.31,151.84,209.0,218.1
2016-01-03 13:00:00,0.0,95.51,76.62,146.9,210.0,213.975
2016-01-03 14:00:00,0.0,90.4,70.89,138.78,209.5,211.775
2016-01-03 15:00:00,0.0,90.56,71.22,135.95,209.5,217.775
2016-01-03 16:00:00,0.0,93.94,70.41,133.61,208.0,215.375
2016-01-03 17:00:00,0.0,94.89,73.92,137.89,209.5,234.8
2016-01-03 18:00:00,0.0,102.78,80.44,152.3,210.0,220.4
2016-01-03 19:00:00,0.0,104.08,80.94,154.79,208.5,217.2
2016-01-03 20:00:00,0.0,107.32,80.8,149.4,209.0,202.625
2016-01-03 21:00:00,0.0,109.57,83.5,154.37,208.5,205.4
2016-01-03 22:00:00,0.0,114.4,81.49,151.98,209.0,190.825
2016-01-03 23:00:00,0.0,101.51,81.5,157.45,208.5,196.9
2016-01-04 00:00:00,0.0,101.83,82.41,155.2,224.0,198.675
2016-01-04 01:00:00,0.0,104.34,83.2,155.95,208.0,196.825
2016-01-04 02:00:00,0.0,102.82,85.61,152.67,207.0,198.525
2016-01-04 03:00:00,0.0,101.8,101.87,152.36,208.5,195.075
2016-01-04 04:00:00,0.0,103.41,116.83,153.92,208.5,196.25
2016-01-04 05:00:00,0.0,104.08,118.75,154.34,229.5,205.575
2016-01-04 06:00:00,0.0,115.33,119.9,165.24,257.5,211.95
2016-01-04 07:00:00,0.0,120.71,128.19,182.47,291.0,221.425
2016-01-04 08:00:00,0.0,122.45,161.93,225.12,383.0,239.4
2016-01-04 09:00:00,0.0,127.98,172.45,234.82,426.0,259.575
2016-01-04 10:00:00,0.0,131.49,172.65,237.57,449.5,258.525
2016-01-04 11:00:00,0.0,131.41,173.94,231.34,453.0,268.0
2016-01-04 12:00:00,0.0,135.99,177.25,247.98,421.5,259.925
2016-01-04 13:00:00,0.0,137.68,174.37,246.39,445.5,270.025
2016-01-04 14:00:00,0.0,135.55,171.16,242.47,443.5,269.175
2016-01-04 15:00:00,0.0,135.9,172.14,234.84,429.0,246.75
2016-01-04 16:00:00,0.0,131.17,167.71,231.83,400.0,249.375
2016-01-04 17:00:00,0.0,127.82,144.84,204.32,352.5,236.65
2016-01-04 18:00:00,0.0,123.87,133.48,185.3,301.0,235.75
2016-01-04 19:00:00,0.0,118.69,119.07,176.12,271.0,220.375
2016-01-04 20:00:00,0.0,116.67,105.98,172.57,252.0,212.55
2016-01-04 21:00:00,0.0,114.42,105.29,172.03,239.5,213.975
2016-01-04 22:00:00,0.0,119.15,111.83,174.04,238.0,206.225
2016-01-04 23:00:00,0.0,120.45,106.25,177.73,230.5,208.15
2016-01-05 00:00:00,0.0,121.44,110.25,170.33,248.0,206.475
2016-01-05 01:00:00,0.0,120.35,110.98,158.08,242.5,206.85
2016-01-05 02:00:00,0.0,120.75,106.33,141.31,238.5,204.25
2016-01-05 03:00:00,0.0,121.12,108.09,145.31,235.5,211.7
2016-01-05 04:00:00,0.0,119.68,110.71,141.13,229.5,201.25
2016-01-05 05:00:00,0.0,123.57,119.65,139.68,249.0,218.175
2016-01-05 06:00:00,0.0,133.31,124.73,161.47,276.0,220.075
2016-01-05 07:00:00,0.0,131.46,135.41,174.07,298.5,235.55
2016-01-05 08:00:00,0.0,137.9,173.16,183.54,374.0,239.425
2016-01-05 09:00:00,0.0,155.16,188.92,212.56,432.0,246.475
2016-01-05 10:00:00,0.0,159.28,187.16,202.51,483.0,249.9
2016-01-05 11:00:00,0.0,153.79,188.74,203.29,472.0,262.625
2016-01-05 12:00:00,0.0,151.01,185.87,207.34,470.0,265.55
2016-01-05 13:00:00,0.0,154.14,177.98,212.02,488.5,264.375
