timestamp,Rat_office_Adele,Rat_office_Lora,Rat_office_Jill,Rat_office_Avis
2016-01-01 00:00:00,624.62,386.11,335.69,1108.02
2016-01-01 01:00:00,631.24,381.16,343.13,1072.79
2016-01-01 02:00:00,634.65,390.94,379.52,1105.18
2016-01-01 03:00:00,643.45,403.66,330.89,1104.35
2016-01-01 04:00:00,647.8,395.02,333.5,1105.84
2016-01-01 05:00:00,633.43,534.87,325.7,1096.58
2016-01-01 06:00:00,682.94,572.5,386.77,1116.21
2016-01-01 07:00:00,894.99,598.54,928.76,1104.02
2016-01-01 08:00:00,985.07,598.41,332.87,1102.28
2016-01-01 09:00:00,972.18,607.06,321.67,1114.39
2016-01-01 10:00:00,959.92,594.48,324.52,1109.19
2016-01-01 11:00:00,912.15,573.76,322.67,1109.69
2016-01-01 12:00:00,848.6,548.86,319.47,1269.44
2016-01-01 13:00:00,832.89,547.1,325.17,1313.82
2016-01-01 14:00:00,819.78,549.19,318.23,1300.73
2016-01-01 15:00:00,816.55,544.33,319.63,1307.97
2016-01-01 16:00:00,818.87,561.9,328.62,1307.98
2016-01-01 17:00:00,861.19,592.41,330.06,1296.3
2016-01-01 18:00:00,872.58,609.58,332.47,1293.88
2016-01-01 19:00:00,663.71,615.3,328.75,1312.42
2016-01-01 20:00:00,692.78,470.32,332.42,1318.47
2016-01-01 21:00:00,648.52,446.85,333.19,1305.68
2016-01-01 22:00:00,680.1,444.05,332.11,1315.75
2016-01-01 23:00:00,663.41,434.11,338.05,1324.17
2016-01-02 00:00:00,672.63,411.48,332.82,1318.58
2016-01-02 01:00:00,683.12,415.25,403.44,1317.93
2016-01-02 02:00:00,679.08,412.98,330.7,1329.8
2016-01-02 03:00:00,703.98,428.72,331.64,1319.34
2016-01-02 04:00:00,675.19,424.48,330.26,1327.08
2016-01-02 05:00:00,698.21,439.07,327.49,1327.06
2016-01-02 06:00:00,696.08,461.89,361.61,1302.25
2016-01-02 07:00:00,755.24,469.09,390.2,1313.4
2016-01-02 08:00:00,704.81,626.2,329.44,1302.87
2016-01-02 09:00:00,716.3,595.69,325.68,1288.63
2016-01-02 10:00:00,657.92,562.57,324.52,1306.55
2016-01-02 11:00:00,661.81,523.85,327.14,1298.07
2016-01-02 12:00:00,632.3,514.54,327.28,1297.19
2016-01-02 13:00:00,643.19,518.12,324.81,1319.36
2016-01-02 14:00:00,628.07,543.85,332.79,1312.43
2016-01-02 15:00:00,608.88,573.23,331.59,1318.15
