timestamp,Panther_office_Catherine,Panther_office_Lauretta,Panther_office_Karla,Panther_office_Ruthie,Panther_office_Shauna,Panther_office_Clementine,Robin_office_Serena,Fox_office_Brandy,Rat_office_Loyd
2016-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,15.363,18.8,12.19,41.56
2016-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,37.7,13.33,38.28
2016-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,37.5,13.14,33.01
2016-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,37.5,13.4,32.96
2016-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,37.2,14.04,32.38
2016-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.4391,37.0,12.8,36.32
2016-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,38.0,13.7,37.24
2016-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,45.5,13.81,35.52
2016-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,46.6,14.0,34.65
2016-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,46.8,13.88,34.71
2016-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,49.3,12.43,34.47
2016-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,48.9,13.23,34.35
2016-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,49.4,12.83,35.24
2016-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,48.5,12.96,35.77
2016-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,48.7,13.24,34.9
2016-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,49.8,13.15,34.87
2016-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,47.4,12.94,34.46
2016-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,43.2,13.49,35.15
2016-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,42.9,13.27,35.97
2016-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,16.5632,40.4,12.74,36.92
2016-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,40.1,13.54,37.13
2016-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,38.1,13.15,36.45
2016-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,37.6,12.77,37.16
2016-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,37.3,13.54,36.95
2016-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,36.8,12.37,40.69
2016-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,36.1,13.91,37.62
2016-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,36.0,13.29,34.48
2016-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,36.0,12.63,34.76
2016-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,35.8,13.83,35.16
2016-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,35.7,12.91,36.61
2016-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,35.6,12.92,36.66
2016-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,38.1,13.29,35.11
2016-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0,16.0831,46.9,12.88,35.59
2016-01-02 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,45.0,13.27,35.36
2016-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,45.0,13.0,35.31
2016-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,47.7,13.43,34.46
2016-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,48.1,12.29,34.99
2016-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,48.2,13.57,36.5
2016-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,48.6,12.57,34.27
2016-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,47.4,12.63,34.07
2016-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,47.9,13.44,34.89
2016-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,47.0,12.14,34.5
2016-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,44.4,13.06,35.83
2016-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,42.1,13.01,35.77
2016-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,40.7,12.93,36.41
2016-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,39.1,13.06,35.95
2016-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,37.6,12.98,35.89
2016-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,37.6,12.95,36.68
2016-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,37.4,13.59,36.41
2016-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,37.7,12.58,37.26
2016-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,37.5,12.85,36.12
2016-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,37.5,13.04,36.75
2016-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,37.5,13.16,36.55
2016-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,37.0,14.01,36.45
2016-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,37.1,12.22,36.66
2016-01-03 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,40.0,12.97,34.66
2016-01-03 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,48.2,13.62,35.31
2016-01-03 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,46.6,12.28,34.25
2016-01-03 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,47.8,13.1,34.53
2016-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0,18.2435,49.1,13.39,35.15
2016-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,49.6,12.17,35.45
2016-01-03 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,48.8,12.87,35.24
2016-01-03 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,49.0,12.9,34.67
