timestamp,Panther_office_Garth,Fox_office_Vicki,Fox_office_Joy,Cockatoo_office_Margaret,Cockatoo_office_Ada
2016-01-01 00:00:00,0.0,88.1,115.74,2.325,374.2
2016-01-01 01:00:00,0.0,91.88,113.01,2.225,375.45
2016-01-01 02:00:00,0.0,92.6,137.38,2.275,390.425
2016-01-01 03:00:00,0.0,95.39,138.45,2.575,380.95
2016-01-01 04:00:00,0.0,95.51,138.07,3.075,377.275
2016-01-01 05:00:00,0.0,97.72,138.32,2.725,385.125
2016-01-01 06:00:00,0.0,98.36,139.28,4.55,391.95
2016-01-01 07:00:00,0.0,99.49,137.66,3.575,422.375
2016-01-01 08:00:00,0.0,99.26,127.44,3.1,431.275
2016-01-01 09:00:00,0.0,96.48,128.21,2.825,429.525
2016-01-01 10:00:00,0.0,94.74,131.36,2.45,435.5
2016-01-01 11:00:00,0.0,92.91,129.24,2.7,430.5
2016-01-01 12:00:00,0.0,85.57,131.0,3.125,429.6
2016-01-01 13:00:00,0.0,83.7,133.78,3.6,446.125
2016-01-01 14:00:00,0.0,81.53,132.63,2.575,444.6
2016-01-01 15:00:00,0.0,86.64,129.9,3.425,428.475
2016-01-01 16:00:00,0.0,92.15,126.42,3.825,445.3
2016-01-01 17:00:00,0.0,89.65,123.72,3.7,453.125
2016-01-01 18:00:00,0.0,86.69,131.49,4.075,437.4
2016-01-01 19:00:00,0.0,81.75,128.7,3.275,421.75
2016-01-01 20:00:00,0.0,79.62,125.94,2.9,405.85
2016-01-01 21:00:00,0.0,82.96,124.63,3.25,400.15
2016-01-01 22:00:00,0.0,83.28,126.05,3.375,379.575
2016-01-01 23:00:00,0.0,82.97,127.65,2.8,384.2
2016-01-02 00:00:00,0.0,84.32,110.87,3.35,390.6
2016-01-02 01:00:00,0.0,88.76,107.39,2.775,370.5
2016-01-02 02:00:00,0.0,96.48,129.39,3.025,388.5
2016-01-02 03:00:00,0.0,94.94,131.14,2.7,357.45
2016-01-02 04:00:00,0.0,95.15,125.44,2.875,370.65
2016-01-02 05:00:00,0.0,95.99,127.86,3.2,387.475
2016-01-02 06:00:00,0.0,99.39,132.49,3.85,400.05
2016-01-02 07:00:00,0.0,96.15,130.58,4.025,410.5
2016-01-02 08:00:00,0.0,98.81,124.5,4.275,412.925
2016-01-02 09:00:00,0.0,98.36,132.92,3.3,429.675
2016-01-02 10:00:00,0.0,96.95,141.72,3.15,422.975
2016-01-02 11:00:00,0.0,94.71,146.57,2.85,432.075
2016-01-02 12:00:00,0.0,97.11,147.8,2.85,436.25
2016-01-02 13:00:00,0.0,98.54,146.82,3.95,431.175
2016-01-02 14:00:00,0.0,108.98,143.91,2.675,420.225
2016-01-02 15:00:00,0.0,112.26,142.68,3.025,423.375
2016-01-02 16:00:00,0.0,113.68,138.42,4.075,447.525
2016-01-02 17:00:00,0.0,107.11,132.57,4.2,427.65
