timestamp,Fox_public_Bart,Bear_public_Valorie,Cockatoo_public_Shad
2016-01-01 00:00:00,46.29,74.0,69.2
2016-01-01 01:00:00,36.79,72.75,66.275
2016-01-01 02:00:00,36.52,73.75,64.675
2016-01-01 03:00:00,37.52,73.0,65.875
2016-01-01 04:00:00,38.09,73.75,66.275
2016-01-01 05:00:00,37.58,73.5,67.675
2016-01-01 06:00:00,37.34,72.75,76.225
2016-01-01 07:00:00,38.6,73.75,87.175
2016-01-01 08:00:00,34.57,73.25,89.1
2016-01-01 09:00:00,42.25,73.5,89.425
2016-01-01 10:00:00,78.97,73.0,89.3
2016-01-01 11:00:00,98.21,73.0,82.875
2016-01-01 12:00:00,106.07,71.0,79.075
2016-01-01 13:00:00,103.0,73.25,79.3
2016-01-01 14:00:00,85.4,73.25,80.9
2016-01-01 15:00:00,46.07,73.75,82.0
2016-01-01 16:00:00,35.94,72.5,86.575
2016-01-01 17:00:00,33.82,74.0,82.375
2016-01-01 18:00:00,36.86,72.25,73.825
2016-01-01 19:00:00,36.7,73.25,63.725
2016-01-01 20:00:00,37.71,72.5,70.85
2016-01-01 21:00:00,37.1,73.5,76.475
2016-01-01 22:00:00,36.39,72.75,81.375
2016-01-01 23:00:00,36.78,73.75,81.375
2016-01-02 00:00:00,59.05,74.0,88.7
2016-01-02 01:00:00,70.9,73.75,89.425
2016-01-02 02:00:00,71.48,74.5,88.625
2016-01-02 03:00:00,70.85,73.75,92.475
2016-01-02 04:00:00,71.2,74.25,93.475
2016-01-02 05:00:00,70.27,73.25,91.425
2016-01-02 06:00:00,70.18,73.75,92.425
2016-01-02 07:00:00,70.02,73.75,90.575
2016-01-02 08:00:00,68.39,73.75,86.15
2016-01-02 09:00:00,67.71,73.0,81.625
2016-01-02 10:00:00,67.71,73.25,79.125
2016-01-02 11:00:00,73.71,71.25,81.025
2016-01-02 12:00:00,78.11,71.25,80.45
2016-01-02 13:00:00,75.13,70.75,80.6
2016-01-02 14:00:00,68.04,71.25,81.925
2016-01-02 15:00:00,67.76,72.5,79.825
2016-01-02 16:00:00,69.42,73.25,85.425
2016-01-02 17:00:00,69.08,72.0,83.825
2016-01-02 18:00:00,70.98,73.25,83.15
2016-01-02 19:00:00,70.32,73.25,66.8
2016-01-02 20:00:00,70.29,72.0,66.875
2016-01-02 21:00:00,70.35,73.0,66.15
2016-01-02 22:00:00,71.41,72.5,65.925
2016-01-02 23:00:00,70.97,73.0,74.825
2016-01-03 00:00:00,70.79,73.25,82.2
2016-01-03 01:00:00,71.51,73.75,82.3
2016-01-03 02:00:00,71.32,73.75,81.525
2016-01-03 03:00:00,71.63,74.0,82.075
