timestamp,Rat_public_Yessenia,Rat_public_Roma,Rat_public_Nelson,Rat_public_Corinne
2016-01-01 00:00:00,106.29,21.92,43.47,17.1
2016-01-01 01:00:00,109.23,22.23,41.1,16.94
2016-01-01 02:00:00,121.12,21.97,44.71,17.55
2016-01-01 03:00:00,123.02,22.58,45.33,17.32
2016-01-01 04:00:00,125.52,22.16,46.42,17.5
2016-01-01 05:00:00,128.0,22.39,46.96,17.44
2016-01-01 06:00:00,127.26,22.34,46.87,18.42
2016-01-01 07:00:00,129.5,22.54,46.56,17.78
2016-01-01 08:00:00,145.8,55.51,49.64,17.23
2016-01-01 09:00:00,146.03,92.74,47.41,18.06
2016-01-01 10:00:00,145.84,95.8,47.13,17.2
2016-01-01 11:00:00,142.81,95.19,42.79,16.29
2016-01-01 12:00:00,130.07,94.58,41.12,16.07
2016-01-01 13:00:00,110.79,95.55,44.38,15.73
2016-01-01 14:00:00,101.01,94.77,44.08,15.81
2016-01-01 15:00:00,92.47,95.59,43.64,15.37
2016-01-01 16:00:00,90.43,95.73,43.26,16.22
2016-01-01 17:00:00,89.39,95.57,48.86,15.92
2016-01-01 18:00:00,90.97,96.09,45.7,17.33
2016-01-01 19:00:00,95.93,96.61,46.3,17.35
2016-01-01 20:00:00,139.17,97.14,54.53,17.84
2016-01-01 21:00:00,142.55,98.39,53.05,18.89
2016-01-01 22:00:00,146.72,94.77,54.47,18.24
2016-01-01 23:00:00,134.78,22.59,57.13,17.0
2016-01-02 00:00:00,132.27,24.17,54.86,16.2
2016-01-02 01:00:00,127.12,22.85,55.65,16.78
2016-01-02 02:00:00,135.95,22.78,56.39,15.53
2016-01-02 03:00:00,137.91,22.75,53.76,13.29
2016-01-02 04:00:00,134.08,22.49,58.52,14.84
2016-01-02 05:00:00,134.64,22.71,56.01,16.39
2016-01-02 06:00:00,134.0,22.8,56.44,18.61
2016-01-02 07:00:00,135.92,22.81,58.63,18.44
2016-01-02 08:00:00,147.36,57.81,54.39,18.04
2016-01-02 09:00:00,140.75,99.88,59.48,17.9
2016-01-02 10:00:00,138.23,111.32,53.99,17.92
2016-01-02 11:00:00,132.6,108.13,55.22,17.96
2016-01-02 12:00:00,133.47,108.53,55.15,16.8
2016-01-02 13:00:00,130.18,108.84,53.01,17.83
2016-01-02 14:00:00,124.28,109.76,50.22,17.66
2016-01-02 15:00:00,125.92,89.59,49.54,17.71
2016-01-02 16:00:00,120.19,82.32,49.99,18.05
2016-01-02 17:00:00,119.81,80.31,49.97,16.92
2016-01-02 18:00:00,117.48,83.6,49.81,17.95
