timestamp,Fox_public_Denny,Bear_public_Orville
2016-01-01 00:00:00,114.71,9.6108
2016-01-01 01:00:00,117.87,9.8
2016-01-01 02:00:00,122.7,9.8
2016-01-01 03:00:00,118.42,9.9
2016-01-01 04:00:00,130.34,9.7
2016-01-01 05:00:00,129.78,9.8
2016-01-01 06:00:00,130.91,9.8
2016-01-01 07:00:00,134.06,9.6
2016-01-01 08:00:00,129.03,14.7
2016-01-01 09:00:00,116.32,15.0
2016-01-01 10:00:00,112.29,15.4
2016-01-01 11:00:00,122.75,15.7
2016-01-01 12:00:00,147.34,15.8
2016-01-01 13:00:00,143.37,16.0
2016-01-01 14:00:00,144.83,15.7
2016-01-01 15:00:00,139.89,15.9
2016-01-01 16:00:00,139.88,16.4
2016-01-01 17:00:00,135.43,16.4
2016-01-01 18:00:00,138.11,16.3
2016-01-01 19:00:00,141.91,10.3
2016-01-01 20:00:00,138.94,9.7
2016-01-01 21:00:00,136.41,9.8
2016-01-01 22:00:00,144.23,9.7
2016-01-01 23:00:00,143.26,9.7
2016-01-02 00:00:00,140.67,9.8
2016-01-02 01:00:00,144.06,9.8
2016-01-02 02:00:00,145.3,9.9
2016-01-02 03:00:00,148.3,9.8
2016-01-02 04:00:00,146.28,9.8
2016-01-02 05:00:00,136.3,9.8
2016-01-02 06:00:00,140.73,9.7
2016-01-02 07:00:00,136.0,9.8
2016-01-02 08:00:00,136.24,15.5
2016-01-02 09:00:00,135.72,15.7
2016-01-02 10:00:00,141.29,15.4
2016-01-02 11:00:00,149.03,16.0
2016-01-02 12:00:00,150.87,16.3
2016-01-02 13:00:00,142.48,15.8
2016-01-02 14:00:00,146.06,16.1
2016-01-02 15:00:00,138.94,16.1
2016-01-02 16:00:00,142.82,15.7
2016-01-02 17:00:00,133.48,16.3
2016-01-02 18:00:00,134.45,16.1
2016-01-02 19:00:00,143.2,10.3
2016-01-02 20:00:00,140.8,9.7
2016-01-02 21:00:00,147.27,9.7
2016-01-02 22:00:00,140.85,9.7
2016-01-02 23:00:00,139.11,9.7
2016-01-03 00:00:00,137.52,9.7
2016-01-03 01:00:00,139.42,9.8
2016-01-03 02:00:00,144.54,9.8
2016-01-03 03:00:00,145.25,9.8
2016-01-03 04:00:00,139.78,9.7
2016-01-03 05:00:00,143.89,9.8
2016-01-03 06:00:00,140.45,9.7
2016-01-03 07:00:00,139.12,9.6
2016-01-03 08:00:00,141.3,15.6
2016-01-03 09:00:00,140.19,15.9
2016-01-03 10:00:00,139.54,15.9
2016-01-03 11:00:00,141.26,16.6
2016-01-03 12:00:00,144.24,16.2
2016-01-03 13:00:00,139.7,16.6
2016-01-03 14:00:00,138.45,16.5
2016-01-03 15:00:00,138.14,16.8
2016-01-03 16:00:00,138.68,15.2
2016-01-03 17:00:00,125.51,15.4
2016-01-03 18:00:00,134.67,15.9
2016-01-03 19:00:00,136.04,10.2
2016-01-03 20:00:00,141.47,9.6
2016-01-03 21:00:00,138.07,9.5
2016-01-03 22:00:00,137.93,9.7
2016-01-03 23:00:00,142.41,9.6
2016-01-04 00:00:00,141.72,9.7
2016-01-04 01:00:00,141.64,9.7
2016-01-04 02:00:00,140.66,9.8
2016-01-04 03:00:00,142.92,9.7
2016-01-04 04:00:00,143.86,9.7
2016-01-04 05:00:00,140.23,9.7
2016-01-04 06:00:00,140.78,9.7
2016-01-04 07:00:00,148.27,9.6
2016-01-04 08:00:00,145.61,16.1
2016-01-04 09:00:00,144.05,17.3
2016-01-04 10:00:00,147.38,18.2
2016-01-04 11:00:00,147.26,18.2
2016-01-04 12:00:00,142.69,44.1
2016-01-04 13:00:00,144.16,49.2
2016-01-04 14:00:00,146.68,49.6
2016-01-04 15:00:00,142.32,49.7
2016-01-04 16:00:00,140.99,50.7947
2016-01-04 17:00:00,139.51,48.4
2016-01-04 18:00:00,134.05,46.7
2016-01-04 19:00:00,134.09,37.6
2016-01-04 20:00:00,135.55,36.7
2016-01-04 21:00:00,136.37,24.9
2016-01-04 22:00:00,132.92,13.1
2016-01-04 23:00:00,135.92,13.1
2016-01-05 00:00:00,136.09,13.1
2016-01-05 01:00:00,136.24,13.1
2016-01-05 02:00:00,136.85,13.3
2016-01-05 03:00:00,139.64,13.2
2016-01-05 04:00:00,139.25,13.2
2016-01-05 05:00:00,141.32,13.1
2016-01-05 06:00:00,142.44,13.1
2016-01-05 07:00:00,145.84,26.1
2016-01-05 08:00:00,149.8,46.0
2016-01-05 09:00:00,150.08,46.1
