timestamp,Rat_public_Angle,Rat_public_Dalia,Rat_public_Lloyd,Cockatoo_public_Chiquita
2016-01-01 00:00:00,270.63,125.88,50.78,54.625
2016-01-01 01:00:00,267.83,125.5,51.12,63.225
2016-01-01 02:00:00,267.66,126.9,51.0,53.675
2016-01-01 03:00:00,268.13,126.96,51.0,58.075
2016-01-01 04:00:00,267.73,128.11,51.22,58.5
2016-01-01 05:00:00,269.2,129.7,51.19,59.875
2016-01-01 06:00:00,268.93,130.51,51.3,54.275
2016-01-01 07:00:00,270.03,131.38,50.99,55.875
2016-01-01 08:00:00,266.45,124.08,50.65,56.1
2016-01-01 09:00:00,261.61,122.01,50.28,54.65
2016-01-01 10:00:00,257.13,122.62,50.37,55.225
2016-01-01 11:00:00,257.56,123.13,50.43,58.725
2016-01-01 12:00:00,258.81,124.62,50.54,60.55
2016-01-01 13:00:00,257.91,123.63,50.28,57.825
2016-01-01 14:00:00,257.69,122.16,50.35,56.9
2016-01-01 15:00:00,258.08,121.33,50.29,57.775
2016-01-01 16:00:00,258.22,120.21,50.46,55.325
2016-01-01 17:00:00,283.47,122.03,50.46,56.2
2016-01-01 18:00:00,302.71,126.06,50.27,55.325
2016-01-01 19:00:00,306.89,126.39,50.52,60.2
2016-01-01 20:00:00,306.82,128.2,51.57,61.75
2016-01-01 21:00:00,306.82,127.6,51.21,62.1
2016-01-01 22:00:00,280.69,128.56,51.3,56.025
2016-01-01 23:00:00,268.82,129.4,51.21,56.55
2016-01-02 00:00:00,268.4,127.92,51.35,59.125
2016-01-02 01:00:00,268.77,130.01,51.54,55.025
2016-01-02 02:00:00,270.88,127.28,51.43,58.55
2016-01-02 03:00:00,270.61,125.72,51.29,54.675
2016-01-02 04:00:00,272.44,126.32,51.56,59.825
2016-01-02 05:00:00,270.53,122.79,51.42,60.4
2016-01-02 06:00:00,269.78,122.79,51.16,54.95
2016-01-02 07:00:00,271.77,129.11,51.38,53.725
2016-01-02 08:00:00,267.07,123.97,50.77,59.825
2016-01-02 09:00:00,269.81,123.95,50.47,53.925
2016-01-02 10:00:00,295.02,117.93,51.21,58.15
2016-01-02 11:00:00,295.87,117.07,55.62,56.925
2016-01-02 12:00:00,296.95,117.45,56.89,53.875
2016-01-02 13:00:00,291.9,120.54,56.93,58.4
2016-01-02 14:00:00,286.57,119.73,56.57,57.95
2016-01-02 15:00:00,288.65,123.92,58.69,54.6
2016-01-02 16:00:00,290.96,122.72,52.19,52.075
2016-01-02 17:00:00,313.0,123.39,48.48,60.725
2016-01-02 18:00:00,312.32,127.78,48.41,55.525
2016-01-02 19:00:00,295.56,128.03,48.43,63.725
2016-01-02 20:00:00,297.32,129.02,52.91,57.95
