timestamp,Fox_assembly_Cathy,Fox_assembly_Boyce,Fox_assembly_Dixie,Cockatoo_assembly_Heath,Cockatoo_assembly_Valencia
2016-01-01 00:00:00,43.29,205.64,17.26,65.15,134.725
2016-01-01 01:00:00,43.26,204.87,17.2,65.0,139.875
2016-01-01 02:00:00,43.13,203.12,17.46,65.375,76.025
2016-01-01 03:00:00,43.15,202.05,17.47,170.9,150.075
2016-01-01 04:00:00,42.67,208.44,17.95,158.375,137.9
2016-01-01 05:00:00,42.52,218.8,17.63,153.725,61.25
2016-01-01 06:00:00,42.45,234.48,17.49,144.375,140.725
2016-01-01 07:00:00,42.03,239.98,17.7,152.55,115.6
2016-01-01 08:00:00,40.38,235.99,24.83,166.1,108.025
2016-01-01 09:00:00,40.73,239.51,46.16,137.3,133.225
2016-01-01 10:00:00,40.69,266.48,59.78,142.625,101.2
2016-01-01 11:00:00,40.77,290.79,67.57,151.65,197.025
2016-01-01 12:00:00,41.18,308.93,103.5,138.7,164.375
2016-01-01 13:00:00,41.62,277.22,146.69,142.275,164.85
2016-01-01 14:00:00,41.28,274.39,138.07,158.675,164.025
2016-01-01 15:00:00,42.33,290.03,126.9,144.625,167.475
2016-01-01 16:00:00,41.58,261.2,109.74,140.475,176.925
2016-01-01 17:00:00,41.92,238.22,92.76,155.2,164.7
2016-01-01 18:00:00,43.36,287.12,91.63,155.5,175.95
2016-01-01 19:00:00,42.98,292.44,17.34,147.3,173.925
2016-01-01 20:00:00,43.0,240.89,17.35,158.175,162.95
2016-01-01 21:00:00,43.08,237.61,17.68,150.225,105.975
2016-01-01 22:00:00,43.31,213.57,16.95,153.425,156.775
2016-01-01 23:00:00,43.54,203.82,16.78,151.15,154.575
2016-01-02 00:00:00,43.42,206.56,16.88,70.725,88.375
2016-01-02 01:00:00,43.22,202.89,16.8,64.125,164.825
2016-01-02 02:00:00,43.6,203.94,17.09,61.825,135.325
2016-01-02 03:00:00,43.7,203.83,17.42,171.225,112.475
