timestamp,Fox_assembly_Gary,Fox_assembly_Christie,Fox_assembly_Leeanne,Rat_assembly_Adolfo,Rat_assembly_Francine,Cockatoo_assembly_Genoveva,Cockatoo_assembly_Mimi
2016-01-01 00:00:00,68.55,24.74,16.84,16.97,43.7,6.075,0.0
2016-01-01 01:00:00,66.93,25.02,15.38,17.3,42.17,6.55,0.0
2016-01-01 02:00:00,67.33,24.91,17.36,17.44,42.21,6.775,0.0
2016-01-01 03:00:00,66.79,24.94,17.05,17.18,41.78,5.375,0.0
2016-01-01 04:00:00,66.34,24.36,18.24,17.69,41.83,5.75,0.0
2016-01-01 05:00:00,65.67,24.0,17.15,18.25,41.73,10.825,0.0
2016-01-01 06:00:00,65.18,23.71,18.64,16.64,42.2,12.775,0.0
2016-01-01 07:00:00,64.78,23.09,16.86,17.11,46.85,12.3,0.0
2016-01-01 08:00:00,64.65,22.94,15.94,17.09,36.37,13.075,3.575
2016-01-01 09:00:00,65.64,22.11,14.17,16.83,28.18,12.325,7.9
2016-01-01 10:00:00,66.11,17.6,15.99,15.92,26.94,11.875,0.0
2016-01-01 11:00:00,65.82,13.89,12.66,15.01,26.89,13.675,0.0
2016-01-01 12:00:00,66.45,19.65,13.72,14.33,26.88,12.95,5.25
2016-01-01 13:00:00,68.07,28.0,11.47,14.16,26.88,12.05,1.05
2016-01-01 14:00:00,75.13,29.95,11.21,14.66,26.8,12.075,0.0
2016-01-01 15:00:00,67.16,29.2,8.69,14.76,26.8,11.7,0.0
2016-01-01 16:00:00,66.11,29.14,10.25,15.07,26.87,12.125,0.0
2016-01-01 17:00:00,66.53,18.03,13.73,15.62,32.5,12.0,0.0
2016-01-01 18:00:00,69.91,6.97,12.48,18.01,42.27,12.15,0.0
2016-01-01 19:00:00,68.3,9.96,15.05,28.55,47.98,12.875,0.0
2016-01-01 20:00:00,66.8,27.05,13.32,28.58,48.01,13.25,0.0
2016-01-01 21:00:00,68.61,27.74,14.75,28.94,48.12,13.1,0.0
2016-01-01 22:00:00,67.09,26.92,14.57,29.41,47.74,5.275,0.0
2016-01-01 23:00:00,67.72,26.45,17.04,27.85,43.4,4.725,0.0
2016-01-02 00:00:00,67.09,26.65,15.22,18.57,43.42,5.4,0.0
2016-01-02 01:00:00,68.36,25.93,15.23,18.84,41.72,5.925,0.0
2016-01-02 02:00:00,67.83,26.77,15.03,18.83,41.62,5.2,0.0
2016-01-02 03:00:00,67.3,26.75,16.87,19.92,41.78,5.575,0.0
2016-01-02 04:00:00,66.95,26.64,15.3,20.04,41.7,4.975,0.0
2016-01-02 05:00:00,66.24,26.71,14.7,20.35,41.62,10.775,0.0
2016-01-02 06:00:00,66.34,26.45,16.4,18.91,41.67,13.125,0.0
2016-01-02 07:00:00,66.25,27.56,15.36,19.11,44.79,12.675,0.0
2016-01-02 08:00:00,65.9,22.02,14.27,19.13,33.92,12.8,0.0
2016-01-02 09:00:00,65.63,16.49,12.62,18.56,27.76,11.8,10.6
2016-01-02 10:00:00,65.52,17.92,13.84,18.73,30.1,11.975,10.2
2016-01-02 11:00:00,65.68,18.39,10.67,25.37,32.33,12.25,0.0
2016-01-02 12:00:00,65.96,23.82,12.06,25.05,32.5,12.725,0.0
2016-01-02 13:00:00,66.18,15.03,9.69,24.64,33.19,11.85,0.0
2016-01-02 14:00:00,71.86,9.79,9.98,24.77,37.08,11.55,0.0
2016-01-02 15:00:00,73.11,10.98,8.37,24.66,37.38,13.15,0.0
2016-01-02 16:00:00,68.41,11.38,12.12,20.97,35.37,23.8,10.45
2016-01-02 17:00:00,67.52,13.96,12.28,12.58,32.97,20.15,10.525
2016-01-02 18:00:00,68.53,6.68,11.87,17.24,41.55,12.35,2.725
2016-01-02 19:00:00,67.22,7.48,13.65,27.17,44.19,11.975,0.0
2016-01-02 20:00:00,68.18,23.56,14.01,27.98,44.21,13.225,0.0
2016-01-02 21:00:00,71.34,27.97,16.12,27.71,44.32,12.1,0.0
2016-01-02 22:00:00,70.72,28.12,15.02,25.39,44.51,4.45,0.0
2016-01-02 23:00:00,67.35,27.35,14.9,24.09,43.11,5.725,0.0
2016-01-03 00:00:00,68.59,27.56,16.18,16.65,43.27,4.525,0.0
2016-01-03 01:00:00,71.85,27.97,16.36,17.07,41.41,4.75,0.0
2016-01-03 02:00:00,69.26,27.05,16.84,17.74,41.29,4.475,0.0
2016-01-03 03:00:00,66.73,27.27,14.15,18.1,41.58,6.225,0.0
2016-01-03 04:00:00,66.71,27.76,17.46,17.49,41.34,4.7,0.0
2016-01-03 05:00:00,66.75,26.96,15.82,18.3,41.24,10.35,0.0
2016-01-03 06:00:00,65.73,28.0,16.62,17.37,41.27,12.7,0.0
2016-01-03 07:00:00,67.01,27.19,15.1,17.93,46.21,12.3,0.0
2016-01-03 08:00:00,67.01,20.79,14.51,17.93,35.48,12.0,0.0
2016-01-03 09:00:00,66.96,18.57,13.7,19.37,27.93,12.65,0.0
2016-01-03 10:00:00,65.86,18.31,14.1,24.57,27.87,11.6,0.0
2016-01-03 11:00:00,66.21,17.78,11.15,26.89,28.08,12.675,0.0
2016-01-03 12:00:00,66.0,25.1,10.87,13.72,28.12,17.375,0.0
2016-01-03 13:00:00,68.25,28.66,11.12,11.23,28.09,25.6,0.0
2016-01-03 14:00:00,69.32,29.15,9.32,11.2,28.02,24.975,0.0
2016-01-03 15:00:00,72.95,31.28,10.86,10.72,28.07,25.675,0.0
2016-01-03 16:00:00,71.66,26.7,11.95,12.31,28.14,22.95,0.0
