timestamp,Panther_assembly_David,Rat_assembly_Frieda,Cockatoo_assembly_Griselda
2016-01-01 00:00:00,0.0,72.04,25.975
2016-01-01 01:00:00,0.0,70.09,28.15
2016-01-01 02:00:00,0.0,68.89,25.625
2016-01-01 03:00:00,0.0,72.01,25.2
2016-01-01 04:00:00,0.0,68.29,26.225
2016-01-01 05:00:00,0.0,69.61,25.0
2016-01-01 06:00:00,0.0,69.1,24.45
2016-01-01 07:00:00,0.0,72.78,25.85
2016-01-01 08:00:00,0.0,67.92,23.075
2016-01-01 09:00:00,0.0,57.62,23.45
2016-01-01 10:00:00,0.0,61.49,24.225
2016-01-01 11:00:00,0.0,59.93,22.375
2016-01-01 12:00:00,0.0,56.26,24.275
2016-01-01 13:00:00,0.0,58.85,23.9
2016-01-01 14:00:00,0.0,57.29,23.3
2016-01-01 15:00:00,0.0,61.62,25.2
2016-01-01 16:00:00,0.0,57.99,20.875
2016-01-01 17:00:00,0.0,61.61,25.525
2016-01-01 18:00:00,0.0,95.51,22.9
2016-01-01 19:00:00,0.0,97.81,21.85
2016-01-01 20:00:00,0.0,98.55,26.425
2016-01-01 21:00:00,0.0,100.99,25.325
2016-01-01 22:00:00,0.0,112.18,23.575
2016-01-01 23:00:00,0.0,114.63,25.125
2016-01-02 00:00:00,0.0,83.3,22.45
2016-01-02 01:00:00,0.0,82.69,23.7
2016-01-02 02:00:00,0.0,88.47,25.8
2016-01-02 03:00:00,0.0,85.77,22.725
2016-01-02 04:00:00,0.0,84.16,24.3
2016-01-02 05:00:00,0.0,88.02,25.375
2016-01-02 06:00:00,0.0,83.4,24.95
2016-01-02 07:00:00,0.0,84.44,22.575
2016-01-02 08:00:00,0.0,79.81,23.825
2016-01-02 09:00:00,0.0,95.66,19.675
2016-01-02 10:00:00,0.0,105.0,24.275
2016-01-02 11:00:00,0.0,95.76,22.325
2016-01-02 12:00:00,0.0,101.88,23.25
2016-01-02 13:00:00,0.0,105.9,22.55
2016-01-02 14:00:00,0.0,104.84,22.125
2016-01-02 15:00:00,0.0,107.53,23.025
2016-01-02 16:00:00,0.0,104.65,25.2
2016-01-02 17:00:00,0.0,105.24,24.55
2016-01-02 18:00:00,0.0,113.26,24.275
2016-01-02 19:00:00,0.0,123.01,25.35
2016-01-02 20:00:00,0.0,124.78,24.025
2016-01-02 21:00:00,0.0,127.43,25.0
2016-01-02 22:00:00,0.0,118.26,23.85
2016-01-02 23:00:00,0.0,122.06,25.875
2016-01-03 00:00:00,0.0,91.27,23.35
2016-01-03 01:00:00,0.0,85.32,25.4
2016-01-03 02:00:00,0.0,88.62,23.9
2016-01-03 03:00:00,0.0,96.84,24.325
2016-01-03 04:00:00,0.0,98.87,24.725
2016-01-03 05:00:00,0.0,101.27,24.9
2016-01-03 06:00:00,0.0,88.92,26.65
2016-01-03 07:00:00,0.0,90.71,23.75
2016-01-03 08:00:00,0.0,87.96,26.8
2016-01-03 09:00:00,0.0,82.15,21.375
2016-01-03 10:00:00,0.0,76.01,23.175
2016-01-03 11:00:00,0.0,80.13,25.65
2016-01-03 12:00:00,0.0,77.41,25.6
2016-01-03 13:00:00,0.0,70.34,24.425
2016-01-03 14:00:00,0.0,89.12,23.375
2016-01-03 15:00:00,0.0,97.97,24.1
2016-01-03 16:00:00,0.0,80.85,24.575
2016-01-03 17:00:00,0.0,74.08,23.05
2016-01-03 18:00:00,0.0,118.19,26.225
2016-01-03 19:00:00,0.0,129.65,27.8
2016-01-03 20:00:00,0.0,141.72,23.75
2016-01-03 21:00:00,0.0,128.87,25.2
2016-01-03 22:00:00,0.0,126.37,26.6
2016-01-03 23:00:00,0.0,128.83,26.975
2016-01-04 00:00:00,0.0,102.72,23.275
2016-01-04 01:00:00,0.0,102.38,26.975
2016-01-04 02:00:00,0.0,93.13,23.925
2016-01-04 03:00:00,0.0,98.59,26.25
2016-01-04 04:00:00,0.0,100.39,28.1
2016-01-04 05:00:00,0.0,104.05,26.125
2016-01-04 06:00:00,0.0,115.8,26.15
2016-01-04 07:00:00,0.0,130.02,28.625
2016-01-04 08:00:00,0.0,133.12,25.125
2016-01-04 09:00:00,0.0,122.66,26.4
2016-01-04 10:00:00,0.0,124.04,24.05
2016-01-04 11:00:00,0.0,124.45,26.925
2016-01-04 12:00:00,0.0,99.61,26.725
2016-01-04 13:00:00,0.0,100.26,24.95
2016-01-04 14:00:00,0.0,99.63,23.8
2016-01-04 15:00:00,0.0,102.8,25.225
2016-01-04 16:00:00,0.0,105.1,23.05
2016-01-04 17:00:00,0.0,125.45,25.775
2016-01-04 18:00:00,0.0,160.08,27.7
2016-01-04 19:00:00,0.0,163.25,25.575
2016-01-04 20:00:00,0.0,163.29,24.725
2016-01-04 21:00:00,0.0,141.09,24.9
2016-01-04 22:00:00,0.0,119.48,26.7
2016-01-04 23:00:00,0.0,129.85,25.025
2016-01-05 00:00:00,0.0,90.35,28.925
2016-01-05 01:00:00,0.0,84.27,28.55
2016-01-05 02:00:00,0.0,82.48,30.675
2016-01-05 03:00:00,0.0,83.52,28.175
2016-01-05 04:00:00,0.0,75.77,33.175
2016-01-05 05:00:00,0.0,73.38,27.6
2016-01-05 06:00:00,0.0,75.13,32.275
2016-01-05 07:00:00,0.0,108.54,26.0
2016-01-05 08:00:00,0.0,113.63,26.75
2016-01-05 09:00:00,0.0,115.93,26.75
2016-01-05 10:00:00,0.0,109.35,25.8
2016-01-05 11:00:00,0.0,121.51,24.525
2016-01-05 12:00:00,0.0,122.79,24.1
2016-01-05 13:00:00,0.0,123.01,26.425
2016-01-05 14:00:00,0.0,122.75,28.2
2016-01-05 15:00:00,0.0,123.14,23.675
2016-01-05 16:00:00,0.0,123.18,25.25
2016-01-05 17:00:00,0.0,118.27,27.25
2016-01-05 18:00:00,0.0,151.81,27.425
2016-01-05 19:00:00,0.0,159.47,25.975
2016-01-05 20:00:00,0.0,158.43,23.325
2016-01-05 21:00:00,0.0,133.64,24.775
2016-01-05 22:00:00,0.0,106.67,26.3
2016-01-05 23:00:00,0.0,104.63,27.15
2016-01-06 00:00:00,0.0,79.11,23.625
2016-01-06 01:00:00,0.0,78.62,22.4
2016-01-06 02:00:00,0.0,77.66,27.175
2016-01-06 03:00:00,0.0,85.77,26.825
2016-01-06 04:00:00,0.0,91.04,29.8
2016-01-06 05:00:00,0.0,81.85,26.175
2016-01-06 06:00:00,0.0,81.29,27.575
2016-01-06 07:00:00,0.0,109.44,27.3
2016-01-06 08:00:00,0.0,111.69,25.35
2016-01-06 09:00:00,0.0,107.24,26.85
2016-01-06 10:00:00,0.0,105.57,26.05
2016-01-06 11:00:00,0.0,114.37,26.325
2016-01-06 12:00:00,0.0,115.41,25.975
2016-01-06 13:00:00,0.0,113.97,23.1
2016-01-06 14:00:00,0.0,112.72,22.25
2016-01-06 15:00:00,0.0,112.82,22.0
2016-01-06 16:00:00,0.0,123.62,22.975
2016-01-06 17:00:00,0.0,128.45,24.0
2016-01-06 18:00:00,0.0,168.1,25.175
2016-01-06 19:00:00,0.0,168.73,24.3
2016-01-06 20:00:00,0.0,170.2,26.275
2016-01-06 21:00:00,0.0,142.36,25.85
2016-01-06 22:00:00,0.0,126.9,25.0
2016-01-06 23:00:00,0.0,127.35,24.925
2016-01-07 00:00:00,0.0,97.37,26.45
2016-01-07 01:00:00,0.0,98.42,25.925
2016-01-07 02:00:00,0.0,98.08,23.05
2016-01-07 03:00:00,0.0,93.94,25.825
2016-01-07 04:00:00,0.0,94.99,25.6
2016-01-07 05:00:00,0.0,94.98,26.2
2016-01-07 06:00:00,0.0,97.96,24.15
2016-01-07 07:00:00,0.0,117.75,24.5
2016-01-07 08:00:00,0.0,118.45,22.625
2016-01-07 09:00:00,0.0,107.77,25.45
2016-01-07 10:00:00,0.0,114.67,28.0
2016-01-07 11:00:00,0.0,110.29,27.125
2016-01-07 12:00:00,0.0,111.64,26.05
2016-01-07 13:00:00,0.0,120.09,24.7
2016-01-07 14:00:00,0.0,112.43,20.925
2016-01-07 15:00:00,0.0,111.77,21.175
2016-01-07 16:00:00,0.0,105.9,24.75
2016-01-07 17:00:00,0.0,110.36,24.625
2016-01-07 18:00:00,0.0,146.65,23.0
2016-01-07 19:00:00,0.0,148.81,24.725
2016-01-07 20:00:00,0.0,147.26,22.7
2016-01-07 21:00:00,0.0,117.86,23.05
2016-01-07 22:00:00,0.0,105.74,25.7
2016-01-07 23:00:00,0.0,103.53,25.8
2016-01-08 00:00:00,0.0,74.92,24.35
2016-01-08 01:00:00,0.0,76.21,25.375
2016-01-08 02:00:00,0.0,74.95,23.95
2016-01-08 03:00:00,0.0,77.73,23.45
2016-01-08 04:00:00,0.0,77.62,28.15
2016-01-08 05:00:00,0.0,75.37,27.775
2016-01-08 06:00:00,0.0,83.36,25.125
2016-01-08 07:00:00,0.0,103.62,25.575
2016-01-08 08:00:00,0.0,111.76,25.55
