timestamp,Panther_lodging_Cora,Cockatoo_lodging_Kyle,Cockatoo_lodging_Lynne,Cockatoo_lodging_Tessie,Cockatoo_lodging_Elvia
2016-01-01 00:00:00,0.0,139.675,63.5,106.825,160.95
2016-01-01 01:00:00,0.0,133.875,63.575,101.1,165.25
2016-01-01 02:00:00,0.0,133.725,65.15,100.35,161.675
2016-01-01 03:00:00,0.0,132.875,64.05,100.2,164.85
2016-01-01 04:00:00,0.0,135.425,62.525,102.525,158.75
2016-01-01 05:00:00,0.0,138.125,65.5,100.2,164.525
2016-01-01 06:00:00,0.0,139.525,62.25,102.025,162.525
2016-01-01 07:00:00,0.0,155.1,78.1,109.125,166.1
2016-01-01 08:00:00,0.0,145.15,77.55,104.725,166.2
2016-01-01 09:00:00,0.0,145.675,77.275,100.875,161.45
2016-01-01 10:00:00,0.0,151.675,62.075,97.775,165.925
2016-01-01 11:00:00,0.0,143.4,60.525,98.825,162.1
2016-01-01 12:00:00,0.0,140.5,60.6,101.4,167.775
2016-01-01 13:00:00,0.0,138.375,60.525,101.2,160.525
2016-01-01 14:00:00,0.0,140.675,63.05,101.225,159.625
2016-01-01 15:00:00,0.0,141.725,70.9,101.125,165.575
2016-01-01 16:00:00,0.0,140.2,70.375,99.075,165.85
2016-01-01 17:00:00,0.0,145.95,66.125,103.875,163.125
2016-01-01 18:00:00,0.0,146.675,77.1,106.0,166.775
2016-01-01 19:00:00,0.0,151.0,68.475,104.475,166.9
2016-01-01 20:00:00,0.0,152.0,66.625,107.125,165.0
2016-01-01 21:00:00,0.0,150.225,79.975,106.95,170.7
2016-01-01 22:00:00,0.0,152.275,76.275,112.2,167.2
2016-01-01 23:00:00,0.0,134.55,65.5,103.225,165.825
2016-01-02 00:00:00,0.0,136.45,63.225,101.6,167.45
2016-01-02 01:00:00,0.0,139.325,66.175,103.9,165.55
2016-01-02 02:00:00,0.0,136.7,62.675,100.65,168.5
2016-01-02 03:00:00,0.0,132.55,61.1,101.8,164.925
2016-01-02 04:00:00,0.0,130.95,60.175,109.45,164.5
2016-01-02 05:00:00,0.0,140.65,67.85,103.225,162.5
2016-01-02 06:00:00,0.0,144.075,68.6,99.675,169.425
2016-01-02 07:00:00,0.0,140.525,77.8,106.45,166.525
2016-01-02 08:00:00,0.0,138.825,78.4,107.0,173.65
2016-01-02 09:00:00,0.0,142.425,77.875,99.075,168.325
2016-01-02 10:00:00,0.0,153.9,63.375,94.25,168.85
2016-01-02 11:00:00,0.0,144.0,63.775,101.275,169.55
2016-01-02 12:00:00,0.0,144.05,72.1,98.125,165.575
2016-01-02 13:00:00,0.0,141.375,65.3,96.325,167.475
2016-01-02 14:00:00,0.0,139.05,70.85,101.75,168.4
2016-01-02 15:00:00,0.0,144.3,66.275,101.525,168.55
2016-01-02 16:00:00,0.0,147.1,66.25,97.95,167.125
2016-01-02 17:00:00,0.0,146.9,67.375,99.875,167.175
2016-01-02 18:00:00,0.0,151.25,72.675,108.25,165.8
2016-01-02 19:00:00,20.554,155.575,68.05,101.225,165.2
2016-01-02 20:00:00,0.0,154.1,62.975,99.975,170.4
2016-01-02 21:00:00,0.0,150.75,74.1,105.55,169.65
2016-01-02 22:00:00,0.0,148.825,80.725,106.5,165.675
