,building_id,site_id,primaryspaceusage,sub_primaryspaceusage,sqm,sqft,lat,lng,timezone,electricity,yearbuilt,sqft_bin
3,Panther_education_Rosalie,Panther,Education,Research,690.5,7432.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2008.0,5001_10000
4,Panther_education_Misty,Panther,Education,Research,252.7,2720.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2004.0,1001_5000
6,Panther_education_Mattie,Panther,Education,Classroom,499.4,5376.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1991.0,5001_10000
8,Panther_education_Diann,Panther,Education,Classroom,2200.4,23685.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2002.0,10001_25000
10,Panther_education_Tina,Panther,Education,Research,743.2,8000.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2000.0,5001_10000
11,Panther_lodging_Russell,Panther,Lodging/residential,Residence Hall,2594.4,27926.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1981.0,25001_50000
14,Panther_education_Vincent,Panther,Education,Classroom,11248.1,121074.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1989.0,100001_200000
15,Panther_education_Shelton,Panther,Education,Classroom,5649.3,60809.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2003.0,50001_100000
16,Panther_office_Karla,Panther,Office,Office,2508.4,27000.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2010.0,25001_50000
17,Panther_assembly_Denice,Panther,Entertainment/public assembly,Stadium,34445.9,370773.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1991.0,200001_500000
20,Panther_lodging_Willa,Panther,Lodging/residential,Residence Hall,3446.7,37100.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1999.0,25001_50000
21,Panther_education_Annetta,Panther,Education,Classroom,9232.7,99380.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2000.0,50001_100000
22,Panther_education_Aurora,Panther,Education,Classroom,8012.9,86250.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2013.0,50001_100000
24,Panther_education_Karri,Panther,Education,Classroom,5076.6,54644.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1996.0,50001_100000
27,Panther_education_Hugh,Panther,Education,Research,10395.0,111891.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1996.0,100001_200000
29,Panther_office_Larry,Panther,Office,Office,1738.9,18717.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2004.0,10001_25000
32,Panther_office_Jeane,Panther,Office,Office,654.3,7043.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1990.0,5001_10000
33,Panther_education_Jonathan,Panther,Education,Research,331.6,3569.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1996.0,1001_5000
